Unnamed: 0,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
2291,303756.19854685647,331136.7417516249,0.2648546406173749,438032.7082128367,0.2894142919125454,1205064.123765174,141437.3213939954,optimal,nYrs_20210220_SWBNG_iter00349,Jan29v1,CONUS,10,05-11-06-97-04-15-96-18-97-00,-1,-1,-1,30487.054550163688,169675.2684278505,0.0,0.0,-15172.050000000007,15173.050000000007
2378,303395.1030713764,242939.20465221984,0.26450572103178904,403174.8423372734,0.28317827905928594,1269241.838886119,73141.99797351005,optimal,nYrs_20210220_SWBNG_iter00044,Jan29v1,CONUS,10,05-12-13-86-90-03-93-97-80-93,-1,-1,-1,29599.66376949458,177723.5395031263,0.0,0.0,-15172.049999999996,15173.049999999996
2615,305110.74222313444,331971.1036531271,0.264954349181078,439327.6640743772,0.2938336513534112,1190517.2834975298,140760.87594387375,optimal,nYrs_20210220_SWBNG_iter00092,Jan29v1,CONUS,10,05-12-15-14-14-16-96-85-15-12,-1,-1,-1,30276.97834626081,176022.7628570682,0.0,0.0,-15172.050000000005,15173.050000000005
2202,303482.3993816174,237393.4996470561,0.2650573539621041,414079.0839054156,0.2807113115172618,1258777.8312315342,76570.32165511022,optimal,nYrs_20210220_SWBNG_iter00447,Jan29v1,CONUS,10,05-12-79-17-03-05-19-87-04-03,-1,-1,-1,29562.458619732228,174667.44643055226,0.0,0.0,-15172.050000000017,15173.050000000017
2439,305889.6041495668,295272.5082799936,0.2688509866217225,435172.7663251754,0.2924571066241047,1230128.2581551909,43999.37338222064,optimal,nYrs_20210220_SWBNG_iter00479,Jan29v1,CONUS,10,05-13-12-11-12-20-13-88-12-89,-1,-1,-1,29765.090089838515,185964.5318536881,0.0,0.0,-15172.049999999963,15173.049999999963
2593,304032.3721590909,264719.0467665529,0.2640706964665965,408319.4536440287,0.2841097231872545,1280683.8274353738,61524.52302650088,optimal,nYrs_20210220_SWBNG_iter00151,Jan29v1,CONUS,10,05-19-92-01-97-02-15-86-08-10,-1,-1,-1,29994.839783202144,182710.29119582672,0.0,0.0,-15172.049999999963,15173.049999999963
2201,304072.94536884874,290890.1030282494,0.26361977208601445,412459.3629195483,0.2871425555307291,1278719.6959017348,54357.358133925234,optimal,nYrs_20210220_SWBNG_iter00425,Jan29v1,CONUS,10,05-84-89-01-82-18-14-14-93-17,-1,-1,-1,30237.986751045763,186916.99209952226,0.0,0.0,-15172.05000000004,15173.05000000004
2380,304699.692965042,281776.81948372,0.26329421817437154,433064.6162033658,0.2764932076643752,1318141.1426887773,97713.65477991432,optimal,nYrs_20210220_SWBNG_iter00132,Jan29v1,CONUS,10,05-88-05-82-89-81-98-86-13-80,-1,-1,-1,31399.73651487272,188793.07826791992,0.0,0.0,-15172.049999999976,15173.049999999976
2266,303451.7041917671,247573.55291381376,0.2634989257910749,436951.1029222114,0.2834548135231831,1258995.0340212032,101531.400037703,optimal,nYrs_20210220_SWBNG_iter00322,Jan29v1,CONUS,10,05-88-83-94-97-99-15-88-98-90,-1,-1,-1,30191.365355147056,183558.62563059467,0.0,0.0,-15172.05,15173.05
2512,304847.2110715589,243985.21446722085,0.26661202843094484,420611.45602826716,0.2958907551871865,1242819.9921927548,53810.60624717431,optimal,nYrs_20210220_SWBNG_iter00065,Jan29v1,CONUS,10,05-97-97-11-93-07-08-12-07-14,-1,-1,-1,29303.521158732485,190116.7500542572,0.0,0.0,-15172.050000000012,15173.050000000012
2537,303244.2752259036,262988.8505664157,0.2660520022784528,417030.85830747377,0.2854780594312746,1243150.7502708402,95255.61493131334,optimal,nYrs_20210220_SWBNG_iter00263,Jan29v1,CONUS,10,06-00-17-03-95-87-08-07-79-79,-1,-1,-1,29753.578572862247,177615.79116072503,0.0,0.0,-15172.050000000025,15173.050000000025
2465,303676.5303113302,330243.63387123944,0.2641410816107398,437638.6200491681,0.28582755098103785,1224328.1794601341,141485.81329570222,optimal,nYrs_20210220_SWBNG_iter00414,Jan29v1,CONUS,10,06-01-17-93-18-96-97-83-95-13,-1,-1,-1,30780.726538469844,176817.0526166119,0.0,0.0,-15172.05,15173.05
2252,304289.39045956556,270090.15728133137,0.2661628679270911,407843.5008486505,0.2924964731129056,1244494.7728657646,45219.57314618826,optimal,nYrs_20210220_SWBNG_iter00205,Jan29v1,CONUS,10,06-09-85-13-10-08-93-12-90-85,-1,-1,-1,29343.51697394476,183371.4508891409,0.0,0.0,-15172.050000000007,15173.050000000007
2267,304810.7318185966,253437.12513106182,0.2675803464216651,429395.6886654544,0.2923420426484425,1207238.3101670232,69379.45514264323,optimal,nYrs_20210220_SWBNG_iter00145,Jan29v1,CONUS,10,06-12-79-07-80-99-20-09-15-11,-1,-1,-1,29074.713369797657,178069.68079072476,0.0,0.0,-15172.049999999996,15173.049999999996
2445,303377.18554384523,329263.4878951276,0.2639045650647265,438904.234876686,0.28382021739477875,1242596.811964043,142064.5698940306,optimal,nYrs_20210220_SWBNG_iter00306,Jan29v1,CONUS,10,06-12-91-96-18-92-05-03-14-81,-1,-1,-1,31086.048221936293,177383.43152573518,0.0,0.0,-15172.049999999988,15173.049999999988
2387,303159.0294050552,270241.0381417561,0.264118096519193,426558.0815672789,0.28425409738745805,1262129.8472859524,63826.933254493124,optimal,nYrs_20210220_SWBNG_iter00261,Jan29v1,CONUS,10,06-80-90-81-13-16-95-90-95-04,-1,-1,-1,30040.951484989913,183336.23375743398,0.0,0.0,-15172.04999999999,15173.04999999999
2461,302605.73940929427,330922.6507784525,0.26397261653612186,421575.0511337979,0.28537774361048673,1237364.727606041,136384.78762949986,optimal,nYrs_20210220_SWBNG_iter00182,Jan29v1,CONUS,10,07-01-93-93-99-01-97-83-96-81,-1,-1,-1,30720.978919224282,176705.70192339347,0.0,0.0,-15172.049999999726,15173.049999999726
2430,305311.9706747878,264162.6356498571,0.26472903308509754,415064.8251907784,0.28737150851911514,1287951.6878500024,60620.63407079825,optimal,nYrs_20210220_SWBNG_iter00251,Jan29v1,CONUS,10,07-03-15-16-08-94-05-10-84-95,-1,-1,-1,30198.658560239932,189760.0158334945,0.0,0.0,-15172.049999999952,15173.049999999952
