,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,to_PGP capacity,to_PGP dispatch,PGP_storage capacity,PGP_storage dispatch,PGP_storage stored,from_PGP capacity,from_PGP dispatch,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
298,303858.71552511415,3500.836746417642,55949.49915891696,0,0.0,0.2629793135138621,291664.2478081959,0.2832842066866996,1078035.2699910982,108361.13494766915,4195.02610045826,20691.081237523136,67667.0645008958,34750.208825696514,126605174.59252524,34749.782014446115,37439583.367898166,274505.40189403604,24324.847410112277,230695.04383559225,74,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1993,Aug04v1,CONUS,-1,0,1993,-1,-1,-1,76232.91192887355,55949.49915891696,3500.836746417642,230695.04383559225,1.0,0.0
476,300165.1826484018,1728.083164113799,59472.276232218996,0,0.0,0.26459623972049845,291664.2478081959,0.2837906342836385,1078035.2699910982,108361.13494766915,3689.873931351958,28621.302691424968,67667.0645008958,34024.78998088798,126605174.59252524,34024.208959043295,50966828.53925858,274505.40189403604,23816.946271330307,151287.04366753867,62,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1994,Aug04v1,CONUS,-1,0,1994,-1,-1,-1,58505.37487251515,59472.276232218996,1728.083164113799,151287.04366753867,1.0,0.0
1626,304597.7723744292,11448.605476310053,60743.04771520505,0,0.0,0.26352530192303597,291664.2478081959,0.2796362636824091,1078035.2699910982,108361.13494766915,3359.027338711054,19574.535372284805,67667.0645008958,33013.61987562875,126605174.59252524,33013.296420116676,28373290.533583913,274505.40189403604,23109.307494081673,244980.5596014817,242,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1995,Aug04v1,CONUS,-1,0,1995,-1,-1,-1,155710.59627566882,60743.04771520505,11448.605476310053,244980.5596014817,1.0,0.0
1485,302336.11839708564,5688.19186261023,80297.17450158401,0,0.0,0.26656098729092004,291664.2478081959,0.30071228894722724,1078035.2699910982,108361.13494766915,3035.927919737987,23762.960143003344,67667.0645008958,33822.02095445495,126605174.59252524,33821.57103908887,39466260.22231388,274505.40189403604,23675.099727362212,209347.52299569134,117,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1996,Aug04v1,CONUS,-1,0,1996,-1,-1,-1,98106.46151286387,80297.17450158401,5688.19186261023,209347.52299569134,1.0,0.0
1144,298511.59600456624,3737.305488518239,68878.3854930833,0,0.0,0.26346008016396294,291664.2478081959,0.28956515566065244,1078035.2699910982,108361.13494766915,3733.1793982901995,25323.601969733758,67667.0645008958,34224.790520299626,126605174.59252524,34224.2515834212,47275164.80877498,274505.40189403604,23956.976108394847,214823.72137332594,100,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1997,Aug04v1,CONUS,-1,0,1997,-1,-1,-1,78597.59845658993,68878.3854930833,3737.305488518239,214823.72137332594,1.0,0.0
21,302805.7374429224,17607.54026062585,51562.60571813887,0,0.0,0.2647134692583764,291664.2478081959,0.2613096450421656,1078035.2699910982,108361.13494766915,3697.886447820853,21562.97343536604,67667.0645008958,29834.229404747955,126605174.59252524,29833.968345466263,22899936.992209908,274505.40189403604,20883.77784182638,291857.49102174223,351,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1998,Aug04v1,CONUS,-1,0,1998,-1,-1,-1,217299.93871390674,51562.60571813887,17607.54026062585,291857.49102174223,1.0,0.0
170,300332.9057077626,3644.7573009311473,86418.22830630706,0,0.0,0.26952310198963475,291664.2478081959,0.30253755292724566,1078035.2699910982,108361.13494766915,2951.283668078176,24248.811254236643,67667.0645008958,29264.828547729623,126605174.59252524,29264.37016594146,40208928.813673586,274505.40189403604,20485.059116159024,210835.62039358413,96,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested1999,Aug04v1,CONUS,-1,0,1999,-1,-1,-1,77672.10814884005,86418.22830630706,3644.7573009311473,210835.62039358413,1.0,0.0
571,300386.00776255707,3230.9431524685656,59390.7681565818,0,0.0,0.2665236620306841,291664.2478081959,0.28209007728539764,1078035.2699910982,108361.13494766915,3219.334472127954,27085.53381812481,67667.0645008958,34223.38541519857,126605174.59252524,34222.731575692254,57354342.7325601,274505.40189403604,23955.91210298458,187281.87260117687,87,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2001,Aug04v1,CONUS,-1,0,2001,-1,-1,-1,73533.97509362407,59390.7681565818,3230.9431524685656,187281.87260117687,1.0,0.0
1184,306273.04497716896,4578.205370379833,67445.09066912101,0,0.0,0.2699333133065723,291664.2478081959,0.2919699785137299,1078035.2699910982,108361.13494766915,3412.769285077239,23529.14333241869,67667.0645008958,32891.955647248775,126605174.59252524,32891.52137897963,38093707.85306803,274505.40189403604,23024.064965285743,244627.35377534595,118,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2002,Aug04v1,CONUS,-1,0,2002,-1,-1,-1,87006.59500945987,67445.09066912101,4578.205370379833,244627.35377534595,1.0,0.0
485,301020.0848173516,5850.746248564041,56086.9469826431,0,0.0,0.26609755344689456,291664.2478081959,0.2770270805637365,1078035.2699910982,108361.13494766915,3755.457474783878,19672.423222654503,67667.0645008958,33740.05921873808,126605174.59252524,33739.65060685546,35843147.59914473,274505.40189403604,23617.75542479882,250265.3012380433,141,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2003,Aug04v1,CONUS,-1,0,2003,-1,-1,-1,99732.00523309596,56086.9469826431,5850.746248564041,250265.3012380433,1.0,0.0
440,298534.8805783242,2673.272748267819,62648.76573100355,0,0.0,0.2630067437968984,291664.2478081959,0.2837104588029233,1078035.2699910982,108361.13494766915,3299.847569747459,24988.651669065992,67667.0645008958,32504.615924659378,126605174.59252524,32504.17342351476,38815889.92085519,274505.40189403604,22752.921396460333,195927.9708002357,56,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2004,Aug04v1,CONUS,-1,0,2004,-1,-1,-1,67957.26812985641,62648.76573100355,2673.272748267819,195927.9708002357,1.0,0.0
462,306573.67842465756,12207.84207460773,58081.50876584222,0,0.0,0.263908294234211,291664.2478081959,0.2778754068242968,1078035.2699910982,108361.13494766915,3820.86088936931,20474.2481584365,67667.0645008958,32474.181501071747,126605174.59252524,32473.85316735531,28801203.19318572,274505.40189403604,22731.697217148718,269276.37600431306,229,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2005,Aug04v1,CONUS,-1,0,2005,-1,-1,-1,163302.9613415969,58081.50876584222,12207.84207460773,269276.37600431306,1.0,0.0
287,301608.11278538813,9865.525542527801,79514.23423049173,0,0.0,0.2662303199285058,291664.2478081959,0.29154296017985637,1078035.2699910982,108361.13494766915,3204.864900415557,23181.763724844477,67667.0645008958,27903.905109213807,126605174.59252524,27903.481337090627,37172993.30454385,274505.40189403604,19532.436935963437,242048.8100891175,203,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2006,Aug04v1,CONUS,-1,0,2006,-1,-1,-1,139879.78825126096,79514.23423049173,9865.525542527801,242048.8100891175,1.0,0.0
944,308302.8090182648,6382.34647912536,65695.7849558129,0,0.0,0.2674591808935575,291664.2478081959,0.29241424879911904,1078035.2699910982,108361.13494766915,2986.1211888038224,19387.84831910793,67667.0645008958,34715.15325985153,126605174.59252524,34714.53682296249,54073411.316219196,274505.40189403604,24300.17577607374,241703.0433555733,133,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2007,Aug04v1,CONUS,-1,0,2007,-1,-1,-1,105048.00919622355,65695.7849558129,6382.34647912536,241703.0433555733,1.0,0.0
1628,304088.1985428051,5167.623727727932,92269.62207063715,0,0.0,0.2707288729496559,291664.2478081959,0.3112675948006041,1078035.2699910982,108361.13494766915,3326.324161418956,23292.642178234997,67667.0645008958,31512.446615079258,126605174.59252524,31512.070651220325,32979285.897124965,274505.40189403604,22058.44945585423,201727.37222754123,113,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2008,Aug04v1,CONUS,-1,0,2008,-1,-1,-1,92900.77623781632,92269.62207063715,5167.623727727932,201727.37222754123,1.0,0.0
528,300992.27808219177,4909.885071538879,71741.60330507609,0,0.0,0.2671937081846535,291664.2478081959,0.2914569861661884,1078035.2699910982,108361.13494766915,2820.2070102578646,23784.11393468142,67667.0645008958,32932.68453597616,126605174.59252524,32932.20917595443,41698247.54870458,274505.40189403604,23052.546423168096,196148.6810474366,119,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2009,Aug04v1,CONUS,-1,0,2009,-1,-1,-1,90323.39209026066,71741.60330507609,4909.885071538879,196148.6810474366,1.0,0.0
1237,314756.4660958904,13175.105363636369,66054.55809051156,0,0.0,0.265923764832733,291664.2478081959,0.2921084441681488,1078035.2699910982,108361.13494766915,3482.7268184090244,18800.043652873108,67667.0645008958,33545.52036528452,126605174.59252524,33545.155698976196,31988272.656419408,274505.40189403604,23481.608989283333,287688.33570942096,236,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2010,Aug04v1,CONUS,-1,0,2010,-1,-1,-1,172975.596053134,66054.55809051156,13175.105363636369,287688.33570942096,1.0,0.0
1366,310507.2966894977,8464.008167149957,96465.97999156849,0,0.0,0.2715464541660344,291664.2478081959,0.31382565288911207,1078035.2699910982,108361.13494766915,2717.6646351957543,21517.280794884256,67667.0645008958,25671.922790621724,126605174.59252524,25671.61572209434,26935835.762051534,274505.40189403604,17970.13100546604,221420.6833371578,187,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2011,Aug04v1,CONUS,-1,0,2011,-1,-1,-1,125864.61070319428,96465.97999156849,8464.008167149957,221420.6833371578,1.0,0.0
1062,304626.139571949,6826.648232212155,77835.5496292384,0,0.0,0.27001853277040194,291664.2478081959,0.29619830568552274,1078035.2699910982,108361.13494766915,3213.56653121426,24889.310749493052,67667.0645008958,30298.109806949455,126605174.59252524,30297.745399089486,31965601.786683854,274505.40189403604,21208.42177936264,235724.93034822613,148,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2012,Aug04v1,CONUS,-1,0,2012,-1,-1,-1,109491.01921829405,77835.5496292384,6826.648232212155,235724.93034822613,1.0,0.0
1526,305395.1433789954,6372.895970183223,71868.2706220705,0,0.0,0.2691500907322936,291664.2478081959,0.2916084347454845,1078035.2699910982,108361.13494766915,3400.6813567401614,25591.03374689302,67667.0645008958,29642.497405269158,126605174.59252524,29642.063258546554,38083045.88466469,274505.40189403604,20749.44428098258,217079.16734307376,136,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2013,Aug04v1,CONUS,-1,0,2013,-1,-1,-1,104953.49548341485,71868.2706220705,6372.895970183223,217079.16734307376,1.0,0.0
1389,305191.95707762556,1861.5456437866387,85421.1849352693,0,0.0,0.2650796826455621,291664.2478081959,0.3124546051342735,1078035.2699910982,108361.13494766915,2909.084175724381,22694.404553220567,67667.0645008958,34417.88289418915,126605174.59252524,34417.33340693376,48200636.4845901,274505.40189403604,24092.133384853638,173913.92975123788,50,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2014,Aug04v1,CONUS,-1,0,2014,-1,-1,-1,59840.000337523576,85421.1849352693,1861.5456437866387,173913.92975123788,1.0,0.0
1718,305580.20993150683,7413.002079759631,51661.30614580034,0,0.0,0.2605947335874114,291664.2478081959,0.2772280830048403,1078035.2699910982,108361.13494766915,3271.7025964291884,22706.74159653897,67667.0645008958,33867.84203240774,126605174.59252524,33867.28859210251,48547395.19475418,274505.40189403604,23707.10201447176,250864.63877173368,148,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2015,Aug04v1,CONUS,-1,0,2015,-1,-1,-1,115354.56376218126,51661.30614580034,7413.002079759631,250864.63877173368,1.0,0.0
1405,307092.93522313295,4251.6372789304105,71337.18746752488,0,0.0,0.26490610678651355,291664.2478081959,0.2978223001247438,1078035.2699910982,108361.13494766915,3070.2417226076095,25085.65935599335,67667.0645008958,32675.33216514068,126605174.59252524,32674.805658030407,46184834.26749576,274505.40189403604,22872.363960621286,224473.1817521879,84,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2016,Aug04v1,CONUS,-1,0,2016,-1,-1,-1,83740.91372664114,71337.18746752488,4251.6372789304105,224473.1817521879,1.0,0.0
12,302036.3121004566,7425.734181905014,76241.89972390614,0,0.0,0.26426189793513105,291664.2478081959,0.293547134797889,1078035.2699910982,108361.13494766915,3082.2284296805165,21426.261354400067,67667.0645008958,30655.075681953138,126605174.59252524,30654.626278442363,39421360.62084478,274505.40189403604,21458.23839490965,206126.55520116104,172,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2017,Aug04v1,CONUS,-1,0,2017,-1,-1,-1,115481.8793220051,76241.89972390614,7425.734181905014,206126.55520116104,1.0,0.0
692,312238.38778538816,10833.440862637292,52158.752566241485,0,0.0,0.26412747334661285,291664.2478081959,0.27867265294554433,1078035.2699910982,108361.13494766915,3371.63972835742,22718.85597661717,67667.0645008958,32277.80870766984,126605174.59252524,32277.491939251704,27786703.342099242,274505.40189403604,22594.244357476193,274902.2424028716,190,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2018,Aug04v1,CONUS,-1,0,2018,-1,-1,-1,149558.9488880669,52158.752566241485,10833.440862637292,274902.2424028716,1.0,0.0
377,308819.6184931507,4601.465027085868,61041.318321998064,0,0.0,0.2641655045338622,291664.2478081959,0.2897661834580256,1078035.2699910982,108361.13494766915,3269.2342008625137,25529.669468400603,67667.0645008958,32669.909996177943,126605174.59252524,32669.292421332873,54173232.08649298,274505.40189403604,22868.50469493301,205850.85519485542,107,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2019,Aug04v1,CONUS,-1,0,2019,-1,-1,-1,87239.19119891427,61041.318321998064,4601.465027085868,205850.85519485542,1.0,0.0
1511,304589.92076502735,4111.269871352046,80899.5573030339,0,0.0,0.27182205867777515,291664.2478081959,0.3004261049920211,1078035.2699910982,108361.13494766915,3317.5834396418068,25641.559238516358,67667.0645008958,29377.07376122522,126605174.59252524,29376.640322930103,38020903.113379695,274505.40189403604,20563.64822605107,201982.3445860697,107,0.0,optimal,nYrs_20210220_SWBPGP_DYrs0_Tested2020,Aug04v1,CONUS,-1,0,2020,-1,-1,-1,82337.23404388333,80899.5573030339,4111.269871352046,201982.3445860697,1.0,0.0
1482,301977.5055936073,563.3055751725212,66565.02451427373,0,0.0,0.2674545444406294,337701.55242333777,0.28379868260612123,1065986.1042666542,162256.26269725466,6153.573687676599,34347.4142643973,61584.47614648642,33190.40263189619,134328388.43147293,33189.90079358637,44020904.35951326,250386.75575703132,23232.930555510462,142676.6678238551,19,0.0,optimal,nYrs_20210220_SWBPGP_DYrs1_Tested1979,Aug04v1,CONUS,-1,1,1979,-1,-1,-1,46150.5126949914,66565.02451427373,563.3055751725212,142676.6678238551,1.0,0.0
1057,309578.18920765026,4820.40680354533,52303.44255960365,0,0.0,0.26395246787924637,337701.55242333777,0.27400936253503594,1065986.1042666542,162256.26269725466,6191.90308689506,37559.366313133374,61584.47614648642,32223.96849959558,134328388.43147293,32223.63023640159,29672209.993702896,250386.75575703132,22556.541165481114,267833.22936047637,93,0.0,optimal,nYrs_20210220_SWBPGP_DYrs1_Tested1980,Aug04v1,CONUS,-1,1,1980,-1,-1,-1,88721.52333589598,52303.44255960365,4820.40680354533,267833.22936047637,1.0,0.0
857,302284.44771689497,14127.86346436427,64407.54559374091,0,0.0,0.25912471314351126,337701.55242333777,0.2701820545982502,1065986.1042666542,162256.26269725466,4403.959947432819,27061.14942932831,61584.47614648642,30831.779666860748,134328388.43147293,30831.46458439942,27638812.387490287,250386.75575703132,21582.025209079595,299696.12784815824,294,0.0,optimal,nYrs_20210220_SWBPGP_DYrs1_Tested1981,Aug04v1,CONUS,-1,1,1981,-1,-1,-1,181796.0875773806,64407.54559374091,14127.86346436427,299696.12784815824,1.0,0.0
128,299633.2605022831,4911.361545180956,65870.63416152651,0,0.0,0.2566909347760672,337701.55242333777,0.27972785144362056,1065986.1042666542,162256.26269725466,5073.598168553742,33262.643819758814,61584.47614648642,32548.43560870585,134328388.43147293,32547.81600935896,54350819.8836275,250386.75575703132,22783.471206551265,201493.42630227405,132,0.0,optimal,nYrs_20210220_SWBPGP_DYrs1_Tested1982,Aug04v1,CONUS,-1,1,1982,-1,-1,-1,89631.07130364937,65870.63416152651,4911.361545180956,201493.42630227405,1.0,0.0
1082,305800.8093607306,11903.682048222938,54533.97870526473,0,0.0,0.25458505936381387,337701.55242333777,0.2675755547752008,1065986.1042666542,162256.26269725466,7057.342346877987,36087.94307153485,61584.47614648642,30181.947687462507,134328388.43147293,30181.616095378053,29087024.945429504,250386.75575703132,21127.131266764638,293967.92451920855,219,0.0,optimal,nYrs_20210220_SWBPGP_DYrs1_Tested1983,Aug04v1,CONUS,-1,1,1983,-1,-1,-1,159554.27231124137,54533.97870526473,11903.682048222938,293967.92451920855,1.0,0.0
901,300952.78608834243,5797.091677555164,71304.55575365163,0,0.0,0.2595475552552688,337701.55242333777,0.28445890763276277,1065986.1042666542,162256.26269725466,6313.239133418896,32348.161768458565,61584.47614648642,32552.04306905807,134328388.43147293,32551.634520832402,35837563.646834575,250386.75575703132,22786.14416458268,247047.96811671468,127,0.0,optimal,nYrs_20210220_SWBPGP_DYrs1_Tested1984,Aug04v1,CONUS,-1,1,1984,-1,-1,-1,98488.37263367188,71304.55575365163,5797.091677555164,247047.96811671468,1.0,0.0
705,304312.90342465753,0.0,70120.2320561452,0,0.0,0.2627501869639085,337701.55242333777,0.29012179959123024,1065986.1042666542,162256.26269725466,5250.958135476462,45937.91654111034,61584.47614648642,31540.575911815606,134328388.43147293,31540.14048130822,38195658.60148828,250386.75575703132,22078.098336915755,0.0,0,0.0,optimal,nYrs_20210220_SWBPGP_DYrs1_Tested1985,Aug04v1,CONUS,-1,1,1985,-1,-1,-1,40517.454138607245,70120.2320561452,0.0,0.0,1.0,0.0
1452,301565.7832191781,8650.576237586029,60865.120822956706,0,0.0,0.2586173468685507,337701.55242333777,0.2717274504417589,1065986.1042666542,162256.26269725466,5799.241866905386,32348.479692820314,61584.47614648642,30975.53722808647,134328388.43147293,30975.212954849194,28445020.807341103,250386.75575703132,21682.649068394436,283259.41046020784,195,0.0,optimal,nYrs_20210220_SWBPGP_DYrs1_Tested1986,Aug04v1,CONUS,-1,1,1986,-1,-1,-1,127023.2155539796,60865.120822956706,8650.576237586029,283259.41046020784,1.0,0.0
328,303652.43230593606,12317.892644744705,42603.906688140596,0,0.0,0.26164664662124054,337701.55242333777,0.2502367280831821,1065986.1042666542,162256.26269725466,6034.475742578825,35719.11083049057,61584.47614648642,28134.294044660583,134328388.43147293,28134.050720175408,21344253.08471967,250386.75575703132,19693.835504122788,229022.47869024283,284,0.0,optimal,nYrs_20210220_SWBPGP_DYrs1_Tested1987,Aug04v1,CONUS,-1,1,1987,-1,-1,-1,163696.37479550965,42603.906688140596,12317.892644744705,229022.47869024283,1.0,0.0
1260,307889.9653916211,6182.980591265526,75482.14952508052,0,0.0,0.2648600958818636,337701.55242333777,0.293708643783056,1065986.1042666542,162256.26269725466,4661.831226431931,30737.77569808477,61584.47614648642,34073.77761214743,134328388.43147293,34073.262476896176,45187302.72767064,250386.75575703132,23851.283733827317,282183.4427347396,121,0.0,optimal,nYrs_20210220_SWBPGP_DYrs1_Tested1988,Aug04v1,CONUS,-1,1,1988,-1,-1,-1,102347.26435764962,75482.14952508052,6182.980591265526,282183.4427347396,1.0,0.0
