,year,optimized_LL,tested_LL
0,1979,138.96964580022976,33.065981856891085
1,1980,136.826251918674,102.67040866296215
2,1981,3.888350848254398,337.0903606763854
3,1982,42.16108580953114,127.39490482793758
4,1983,3.1431031477510447,273.0404918619067
5,1984,35.45068478000511,137.16860608625393
6,1985,214.53572902866102,8.080673960960315
7,1986,24.82949759620253,190.92080285651608
8,1987,7.480123338868685,289.63321302074456
9,1988,31.36037125442134,161.3373469365848
10,1989,45.10970569901304,148.55575654461794
11,1990,130.33680684667794,84.53270118395807
12,1991,38.152783621252574,139.5138488387461
13,1992,110.19757583773432,77.7237975034077
14,1993,166.2880531097446,38.376955989490476
15,1994,175.65612458733446,12.499296901337027
16,1995,29.731100962027444,189.04315952751256
17,1996,158.14550601332166,55.40857729655992
18,1997,117.19719112003744,43.53921986674027
19,1998,2.975080293849207,344.1491836601018
20,1999,246.11505371762408,17.43018995375847
21,2000,216.0227628223605,10.068007470814567
22,2001,132.41478532203888,31.66106847122388
23,2002,122.08281368842697,36.8003767190831
24,2003,109.81043506152427,71.26683018329163
25,2004,165.4642864381886,18.44490002090401
26,2005,35.07145132142603,205.81508903699628
27,2006,99.96893345462975,138.96525694109073
28,2007,69.70937568775902,90.86865077033308
29,2008,190.12913152198644,37.25694294406953
30,2009,117.96395620086895,41.784232455933854
31,2010,19.399724248271998,238.03896686427169
32,2011,197.84059086591057,98.52012790103223
33,2012,100.28573215553055,69.0760469989779
34,2013,124.84211849664386,62.71063084878959
35,2014,211.85242992539807,9.311071370150724
36,2015,57.160592261703805,111.73202620240923
37,2016,134.43030581278617,32.424181629415585
38,2017,91.3930114686629,77.22070427790628
39,2018,28.523746037475554,171.0535281872378
40,2019,111.70262993855174,44.01287125972067
41,2020,234.07275069740527,20.48440019174026
