,year,optimized_LL,tested_LL
0,1979,6.872518189334154,5.655203806391065
1,1980,4.16886929679962,13.209431408702228
2,1981,1.606074621693416,23.977284464880263
3,1982,9.518681557803397,8.472708539247897
4,1983,7.632987898129512,18.164406831783804
5,1984,5.637006076999123,8.662054231652885
6,1985,4.700879474112998,5.831542817866887
7,1986,0.6548513957766875,22.986908849592265
8,1987,4.674063594371241,6.9024299089955985
9,1988,1.2557193771873691,19.924873376483678
10,1989,1.050534261107922,24.64208295525166
11,1990,18.3384282965324,2.157369842640185
12,1991,9.655634151140138,8.786399198935861
13,1992,10.994609064775421,0.8353822312916355
14,1993,16.009117016167494,4.364637306065209
15,1994,13.18995842652931,1.1989154729411575
16,1995,2.3905442861380823,17.635405886068426
17,1996,0.05950506408009007,19.956166822914152
18,1997,4.095624293846318,9.55801754042506
19,1998,20.68701740430931,8.236088698088581
20,1999,16.99578993782785,4.885778810969305
21,2000,1.412377395853447,16.98104766076721
22,2001,1.2901289393404543,8.309193799713444
23,2002,1.074897402000626,10.665081519524174
24,2003,6.302838297029784,8.115832844446944
25,2004,17.7789251931816,1.8650051331933004
26,2005,1.5966855527438983,19.328361137349113
27,2006,27.210026865936758,1.8902180459299638
28,2007,2.1512864357160035,7.704248519516588
29,2008,18.218113205048866,3.5855040244348095
30,2009,28.72010751792164,4.388062977326856
31,2010,0.5666051193069505,27.610894206979797
32,2011,16.885518771068856,1.4483320353165818
33,2012,8.707746277812554,2.1609661937059257
34,2013,16.778801596877823,2.3716525018985886
35,2014,10.726731829882906,2.946401133531729
36,2015,7.014481108764258,15.371253233334109
37,2016,18.916216112745882,4.396032164119264
38,2017,16.01895788213498,1.8372636014710402
39,2018,3.938309061590445,13.464311672928694
40,2019,12.272642769032956,2.7066355092402072
41,2020,16.87797557028391,1.458399673020296
