Capacity data calculated from MERRA-2,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,solar
2019,1,8,2,0.0
2019,1,8,3,0.0
2019,1,8,4,0.015759149717598873
2019,1,8,5,0.21689792594371637
2019,1,8,6,0.48246169909744385
2019,1,8,7,0.6933833371320877
2019,1,8,8,0.7821128268126473
2019,1,8,9,0.8012491567659605
2019,1,8,10,0.7986907978504895
2019,1,8,11,0.7903172601483716
2019,1,8,12,0.7800876158696889
2019,1,8,13,0.7603281509865035
2019,1,8,14,0.6981980402463892
2019,1,8,15,0.5280584291122878
2019,1,8,16,0.3218888325993677
2019,1,8,17,0.1481732967375997
2019,1,8,18,0.005944296206379416
2019,1,8,19,0.0
2019,1,8,20,0.0
2019,1,8,21,0.0
2019,1,8,22,0.0
2019,1,8,23,0.0
2019,1,8,24,0.0
2019,1,9,1,0.0
2019,1,9,2,0.0
2019,1,9,3,0.0
2019,1,9,4,0.012580594761644668
2019,1,9,5,0.2169013767827748
2019,1,9,6,0.4898454462549671
2019,1,9,7,0.6854327449905107
2019,1,9,8,0.7651006873996873
2019,1,9,9,0.7852583888616621
2019,1,9,10,0.7847592029289425
2019,1,9,11,0.7753975229121579
2019,1,9,12,0.7618658026770592
2019,1,9,13,0.7342736871425499
2019,1,9,14,0.6583747209457133
2019,1,9,15,0.5023098969442651
2019,1,9,16,0.2980876489808852
2019,1,9,17,0.146234501211336
2019,1,9,18,0.0058656228602083525
2019,1,9,19,0.0
2019,1,9,20,0.0
2019,1,9,21,0.0
2019,1,9,22,0.0
2019,1,9,23,0.0
2019,1,9,24,0.0
2019,1,10,1,0.0
2019,1,10,2,0.0
2019,1,10,3,0.0
2019,1,10,4,0.00754877182008885
2019,1,10,5,0.19418347118901172
2019,1,10,6,0.4729039736719046
2019,1,10,7,0.6723705199997169
2019,1,10,8,0.7705594071584857
2019,1,10,9,0.791694499269784
2019,1,10,10,0.7871771082176835
2019,1,10,11,0.777641606603383
2019,1,10,12,0.7659776452507359
2019,1,10,13,0.7423097573669878
2019,1,10,14,0.6838455182379237
2019,1,10,15,0.5527238236549676
2019,1,10,16,0.342131655763177
2019,1,10,17,0.169243339782318
2019,1,10,18,0.0049130522040004235
2019,1,10,19,0.0
2019,1,10,20,0.0
2019,1,10,21,0.0
2019,1,10,22,0.0
2019,1,10,23,0.0
2019,1,10,24,0.0
2019,1,11,1,0.0
2019,1,11,2,0.0
2019,1,11,3,0.0
2019,1,11,4,0.013511757133937577
2019,1,11,5,0.23298086233826698
2019,1,11,6,0.5171792540177677
2019,1,11,7,0.6955285676184149
2019,1,11,8,0.7838558102863468
2019,1,11,9,0.8054085453054538
2019,1,11,10,0.8026056845457752
2019,1,11,11,0.796420051585075
2019,1,11,12,0.7890206920349939
2019,1,11,13,0.7725492243832601
2019,1,11,14,0.7175369557205449
2019,1,11,15,0.5497880015101638
2019,1,11,16,0.35618831045968546
2019,1,11,17,0.168161245762741
2019,1,11,18,0.004385400313261746
2019,1,11,19,0.0
2019,1,11,20,0.0
2019,1,11,21,0.0
2019,1,11,22,0.0
2019,1,11,23,0.0
2019,1,11,24,0.0
2019,1,12,1,0.0
2019,1,12,2,0.0
2019,1,12,3,0.0
2019,1,12,4,0.01316817069734467
2019,1,12,5,0.2248022483631876
