BEGIN_DATA,,,,
Year,Month,Day,Hour,wind 25% top
2017,1,1,4,0.5635932010000267
2017,1,1,8,0.4899710832500269
2017,1,1,12,0.38829477725002687
2017,1,1,16,0.26313242875002685
2017,1,1,20,0.28140984850002687
2017,1,1,24,0.4218614660000268
2017,1,2,4,0.5797186577500268
2017,1,2,8,0.48079742650002677
2017,1,2,12,0.39522123125002695
2017,1,2,16,0.3576498060000269
2017,1,2,20,0.24235452375002686
2017,1,2,24,0.28146655275002685
2017,1,3,4,0.4671026627500269
2017,1,3,8,0.5666359355000269
2017,1,3,12,0.6365305357500268
2017,1,3,16,0.6452282847500267
2017,1,3,20,0.5794457655000267
2017,1,3,24,0.5319494457500267
2017,1,4,4,0.4657010852500267
2017,1,4,8,0.39586110125002655
2017,1,4,12,0.3403459440000265
2017,1,4,16,0.3003984095000265
2017,1,4,20,0.2436766897500265
2017,1,4,24,0.28342993725002646
2017,1,5,4,0.36392398325002645
2017,1,5,8,0.36548367950002647
2017,1,5,12,0.36680948050002643
2017,1,5,16,0.3793347937500265
2017,1,5,20,0.3935745185000265
2017,1,5,24,0.38290758550002646
2017,1,6,4,0.3452894732500264
2017,1,6,8,0.29899735275002637
2017,1,6,12,0.2374595072500263
2017,1,6,16,0.19414019250002626
2017,1,6,20,0.10732837325002627
2017,1,6,24,0.15443709875002629
2017,1,7,4,0.22465356250002627
2017,1,7,8,0.33009933300002625
2017,1,7,12,0.3046820727500263
2017,1,7,16,0.2173788610000263
2017,1,7,20,0.1177776862500263
2017,1,7,24,0.2008409310000263
2017,1,8,4,0.40080574725002627
2017,1,8,8,0.41811786050002625
2017,1,8,12,0.45427531250002634
2017,1,8,16,0.49350160225002637
2017,1,8,20,0.5997082877500264
2017,1,8,24,0.5640434580000263
2017,1,9,4,0.6204847100000264
2017,1,9,8,0.5152736472500263
2017,1,9,12,0.4531113497500264
2017,1,9,16,0.44570367500002644
2017,1,9,20,0.5347235512500265
2017,1,9,24,0.6386810262500267
2017,1,10,4,0.6571657555000265
2017,1,10,8,0.6512293747500264
2017,1,10,12,0.7104914337500264
2017,1,10,16,0.7450923835000264
2017,1,10,20,0.5591276925000264
2017,1,10,24,0.4364431112500263
2017,1,11,4,0.5612438425000262
2017,1,11,8,0.6438340877500264
2017,1,11,12,0.6519453755000265
2017,1,11,16,0.5926103127500264
2017,1,11,20,0.4925583735000264
2017,1,11,24,0.5146687617500265
2017,1,12,4,0.5648219017500263
2017,1,12,8,0.5446363492500262
2017,1,12,12,0.4811745112500263
2017,1,12,16,0.3510815832500264
2017,1,12,20,0.29366333700002645
2017,1,12,24,0.26749789700002646
2017,1,13,4,0.32041214150002656
2017,1,13,8,0.28039988300002655
2017,1,13,12,0.29980987750002663
2017,1,13,16,0.3174221905000267
2017,1,13,20,0.1792411222500267
2017,1,13,24,0.17707272425002668
2017,1,14,4,0.27682373600002663
2017,1,14,8,0.23234181875002663
2017,1,14,12,0.19424493275002666
2017,1,14,16,0.17035784850002667
2017,1,14,20,0.06836726000002671
2017,1,14,24,0.08598414725002672
2017,1,15,4,0.21172193775002673
2017,1,15,8,0.26425158425002676
2017,1,15,12,0.28033837300002684
2017,1,15,16,0.3008227880000268
2017,1,15,20,0.1594588717500268
2017,1,15,24,0.19991321900002673
2017,1,16,4,0.39769669825002674
2017,1,16,8,0.4100317460000268
2017,1,16,12,0.3956400157500269
2017,1,16,16,0.3722217445000268
2017,1,16,20,0.2767284672500268
2017,1,16,24,0.33968597150002683
2017,1,17,4,0.4732357697500268
2017,1,17,8,0.5154202832500269
2017,1,17,12,0.49858546150002686
2017,1,17,16,0.41407729400002685
2017,1,17,20,0.21647932125002686
2017,1,17,24,0.3090523685000269
2017,1,18,4,0.5304754595000268
2017,1,18,8,0.6477269027500268
2017,1,18,12,0.5951979557500267
2017,1,18,16,0.4903698237500267
2017,1,18,20,0.2662426177500266
2017,1,18,24,0.45479426250002664
2017,1,19,4,0.7395066417500267
2017,1,19,8,0.6903490160000267
2017,1,19,12,0.49091349200002654
2017,1,19,16,0.3854742037500266
2017,1,19,20,0.34119246800002667
2017,1,19,24,0.38211567250002665
2017,1,20,4,0.47411346225002665
2017,1,20,8,0.43018750025002667
2017,1,20,12,0.3842077917500265
2017,1,20,16,0.3568028230000265
2017,1,20,20,0.3354593565000265
2017,1,20,24,0.4349715182500265
2017,1,21,4,0.5016822910000267
2017,1,21,8,0.4938555972500268
2017,1,21,12,0.38531226300002674
2017,1,21,16,0.22644858625002673
2017,1,21,20,0.20084014900002667
2017,1,21,24,0.2707204322500267
2017,1,22,4,0.37442202325002677
2017,1,22,8,0.47875831925002676
2017,1,22,12,0.5895024260000268
2017,1,22,16,0.5114661672500267
2017,1,22,20,0.44360995200002673
2017,1,22,24,0.4723433525000268
2017,1,23,4,0.45705714925002666
2017,1,23,8,0.36810477400002656
2017,1,23,12,0.2987669175000266
2017,1,23,16,0.24019227550002664
2017,1,23,20,0.2253086102500267
2017,1,23,24,0.3112044535000267
2017,1,24,4,0.4951628140000266
2017,1,24,8,0.45646192100002664
2017,1,24,12,0.41487472950002663
2017,1,24,16,0.4016026005000266
2017,1,24,20,0.4538342812500267
2017,1,24,24,0.5427527897500266
2017,1,25,4,0.5683580207500266
2017,1,25,8,0.5512660885000267
2017,1,25,12,0.5250395135000266
2017,1,25,16,0.5174187507500267
2017,1,25,20,0.5487198427500266
2017,1,25,24,0.5962714795000269
2017,1,26,4,0.5421682427500267
2017,1,26,8,0.5218623840000267
2017,1,26,12,0.5277607712500268
