BEGIN_DATA,,,,
Year,Month,Day,Hour,Solar_CF
2016.0,1.0,1.0,1.0,-3.348912601258799e-05
2016.0,1.0,1.0,2.0,0.0
2016.0,1.0,1.0,3.0,0.0
2016.0,1.0,1.0,4.0,0.0
2016.0,1.0,1.0,5.0,0.0
2016.0,1.0,1.0,6.0,0.0
2016.0,1.0,1.0,7.0,0.0
2016.0,1.0,1.0,8.0,0.0
2016.0,1.0,1.0,9.0,0.0
2016.0,1.0,1.0,10.0,0.0
2016.0,1.0,1.0,11.0,0.0
2016.0,1.0,1.0,12.0,0.0
2016.0,1.0,1.0,13.0,0.0
2016.0,1.0,1.0,14.0,-4.742684897010929e-05
2016.0,1.0,1.0,15.0,0.1977540402109944
2016.0,1.0,1.0,16.0,0.3867516865295219
2016.0,1.0,1.0,17.0,0.43782320750866904
2016.0,1.0,1.0,18.0,0.4617145933606833
2016.0,1.0,1.0,19.0,0.4208928893689349
2016.0,1.0,1.0,20.0,0.3984760674277678
2016.0,1.0,1.0,21.0,0.39377989694934923
2016.0,1.0,1.0,22.0,0.39663431621093087
2016.0,1.0,1.0,23.0,0.3353503612228721
2016.0,1.0,1.0,24.0,0.14870422065726183
2016.0,1.0,2.0,1.0,-3.980921985239682e-05
2016.0,1.0,2.0,2.0,0.0
2016.0,1.0,2.0,3.0,0.0
2016.0,1.0,2.0,4.0,0.0
2016.0,1.0,2.0,5.0,0.0
2016.0,1.0,2.0,6.0,0.0
2016.0,1.0,2.0,7.0,0.0
2016.0,1.0,2.0,8.0,0.0
2016.0,1.0,2.0,9.0,0.0
2016.0,1.0,2.0,10.0,0.0
2016.0,1.0,2.0,11.0,0.0
2016.0,1.0,2.0,12.0,0.0
2016.0,1.0,2.0,13.0,0.0
2016.0,1.0,2.0,14.0,-3.332047893561805e-05
2016.0,1.0,2.0,15.0,0.05350368684421119
2016.0,1.0,2.0,16.0,0.2154564081632731
2016.0,1.0,2.0,17.0,0.34811746044714353
2016.0,1.0,2.0,18.0,0.41488301715622017
2016.0,1.0,2.0,19.0,0.4632352694776261
2016.0,1.0,2.0,20.0,0.4953294924182251
2016.0,1.0,2.0,21.0,0.5869607021205268
2016.0,1.0,2.0,22.0,0.6242614191242466
2016.0,1.0,2.0,23.0,0.5423659615316678
2016.0,1.0,2.0,24.0,0.16829615516174906
2016.0,1.0,3.0,1.0,-6.55724311319587e-05
2016.0,1.0,3.0,2.0,0.0
2016.0,1.0,3.0,3.0,0.0
2016.0,1.0,3.0,4.0,0.0
2016.0,1.0,3.0,5.0,0.0
2016.0,1.0,3.0,6.0,0.0
2016.0,1.0,3.0,7.0,0.0
2016.0,1.0,3.0,8.0,0.0
2016.0,1.0,3.0,9.0,0.0
2016.0,1.0,3.0,10.0,0.0
2016.0,1.0,3.0,11.0,0.0
2016.0,1.0,3.0,12.0,0.0
2016.0,1.0,3.0,13.0,0.0
2016.0,1.0,3.0,14.0,-5.928867373053849e-05
2016.0,1.0,3.0,15.0,0.154534244799223
2016.0,1.0,3.0,16.0,0.383627053151767
2016.0,1.0,3.0,17.0,0.5934813198071034
2016.0,1.0,3.0,18.0,0.6265167436576187
2016.0,1.0,3.0,19.0,0.6089736374402981
2016.0,1.0,3.0,20.0,0.6251725103466524
2016.0,1.0,3.0,21.0,0.6566070782629616
2016.0,1.0,3.0,22.0,0.7035565921886491
2016.0,1.0,3.0,23.0,0.6404442401074867
2016.0,1.0,3.0,24.0,0.1527803145458833
2016.0,1.0,4.0,1.0,-8.469738368204648e-05
2016.0,1.0,4.0,2.0,0.0
2016.0,1.0,4.0,3.0,0.0
2016.0,1.0,4.0,4.0,0.0
2016.0,1.0,4.0,5.0,0.0
2016.0,1.0,4.0,6.0,0.0
2016.0,1.0,4.0,7.0,0.0
2016.0,1.0,4.0,8.0,0.0
2016.0,1.0,4.0,9.0,0.0
2016.0,1.0,4.0,10.0,0.0
2016.0,1.0,4.0,11.0,0.0
2016.0,1.0,4.0,12.0,0.0
2016.0,1.0,4.0,13.0,0.0
2016.0,1.0,4.0,14.0,-6.974493105957938e-05
2016.0,1.0,4.0,15.0,0.13513170025682186
2016.0,1.0,4.0,16.0,0.2814344168802465
2016.0,1.0,4.0,17.0,0.42381102809737453
2016.0,1.0,4.0,18.0,0.5301130401633718
2016.0,1.0,4.0,19.0,0.5252593810390217
2016.0,1.0,4.0,20.0,0.49935789406401243
2016.0,1.0,4.0,21.0,0.5054344216870574
2016.0,1.0,4.0,22.0,0.24474570036910792
2016.0,1.0,4.0,23.0,0.06922158881420326
2016.0,1.0,4.0,24.0,0.022012952041250332
2016.0,1.0,5.0,1.0,-8.814431626109822e-05
2016.0,1.0,5.0,2.0,0.0
2016.0,1.0,5.0,3.0,0.0
2016.0,1.0,5.0,4.0,0.0
2016.0,1.0,5.0,5.0,0.0
2016.0,1.0,5.0,6.0,0.0
2016.0,1.0,5.0,7.0,0.0
2016.0,1.0,5.0,8.0,0.0
2016.0,1.0,5.0,9.0,0.0
2016.0,1.0,5.0,10.0,0.0
2016.0,1.0,5.0,11.0,0.0
2016.0,1.0,5.0,12.0,0.0
2016.0,1.0,5.0,13.0,0.0
2016.0,1.0,5.0,14.0,-0.00010510487797918868
2016.0,1.0,5.0,15.0,0.16535365104248673
2016.0,1.0,5.0,16.0,0.3104635537950475
2016.0,1.0,5.0,17.0,0.4344113738887842
2016.0,1.0,5.0,18.0,0.5016876080463508
2016.0,1.0,5.0,19.0,0.5011621193019665
2016.0,1.0,5.0,20.0,0.4816448118496491
2016.0,1.0,5.0,21.0,0.5396775182905227
2016.0,1.0,5.0,22.0,0.5642381811902087
2016.0,1.0,5.0,23.0,0.43835037387839604
2016.0,1.0,5.0,24.0,0.13700799283021017
2016.0,1.0,6.0,1.0,-9.8705086804897e-05
2016.0,1.0,6.0,2.0,0.0
2016.0,1.0,6.0,3.0,0.0
2016.0,1.0,6.0,4.0,0.0
