BEGIN_DATA,,,,
Year,Month,Day,Hour,Solar_CF
2016.0,1.0,1.0,1.0,0.0
2016.0,1.0,1.0,2.0,0.0
2016.0,1.0,1.0,3.0,0.0
2016.0,1.0,1.0,4.0,0.0
2016.0,1.0,1.0,5.0,0.0
2016.0,1.0,1.0,6.0,0.0
2016.0,1.0,1.0,7.0,0.0
2016.0,1.0,1.0,8.0,0.0
2016.0,1.0,1.0,9.0,0.0
2016.0,1.0,1.0,10.0,0.0
2016.0,1.0,1.0,11.0,0.0
2016.0,1.0,1.0,12.0,0.0
2016.0,1.0,1.0,13.0,0.0
2016.0,1.0,1.0,14.0,0.019925275470219144
2016.0,1.0,1.0,15.0,0.13739499092424187
2016.0,1.0,1.0,16.0,0.3501258957232549
2016.0,1.0,1.0,17.0,0.46907585943216135
2016.0,1.0,1.0,18.0,0.3130922245425736
2016.0,1.0,1.0,19.0,0.25816592465737326
2016.0,1.0,1.0,20.0,0.16883392855560136
2016.0,1.0,1.0,21.0,0.12274520995418083
2016.0,1.0,1.0,22.0,0.06841499576156278
2016.0,1.0,1.0,23.0,0.013101575802867043
2016.0,1.0,1.0,24.0,-6.0757958659264156e-05
2016.0,1.0,2.0,1.0,0.0
2016.0,1.0,2.0,2.0,0.0
2016.0,1.0,2.0,3.0,0.0
2016.0,1.0,2.0,4.0,0.0
2016.0,1.0,2.0,5.0,0.0
2016.0,1.0,2.0,6.0,0.0
2016.0,1.0,2.0,7.0,0.0
2016.0,1.0,2.0,8.0,0.0
2016.0,1.0,2.0,9.0,0.0
2016.0,1.0,2.0,10.0,0.0
2016.0,1.0,2.0,11.0,0.0
2016.0,1.0,2.0,12.0,0.0
2016.0,1.0,2.0,13.0,0.0
2016.0,1.0,2.0,14.0,0.047004775755135696
2016.0,1.0,2.0,15.0,0.09339057231884262
2016.0,1.0,2.0,16.0,0.14912753136415025
2016.0,1.0,2.0,17.0,0.23260887410848174
2016.0,1.0,2.0,18.0,0.21985170110328436
2016.0,1.0,2.0,19.0,0.19745129810623366
2016.0,1.0,2.0,20.0,0.14118254604868116
2016.0,1.0,2.0,21.0,0.0753621611256974
2016.0,1.0,2.0,22.0,0.03382111938951436
2016.0,1.0,2.0,23.0,0.005287492881881481
2016.0,1.0,2.0,24.0,-4.122221358523532e-05
2016.0,1.0,3.0,1.0,0.0
2016.0,1.0,3.0,2.0,0.0
2016.0,1.0,3.0,3.0,0.0
2016.0,1.0,3.0,4.0,0.0
2016.0,1.0,3.0,5.0,0.0
2016.0,1.0,3.0,6.0,0.0
2016.0,1.0,3.0,7.0,0.0
2016.0,1.0,3.0,8.0,0.0
2016.0,1.0,3.0,9.0,0.0
2016.0,1.0,3.0,10.0,0.0
2016.0,1.0,3.0,11.0,0.0
2016.0,1.0,3.0,12.0,0.0
2016.0,1.0,3.0,13.0,0.0
2016.0,1.0,3.0,14.0,0.13766342176832977
2016.0,1.0,3.0,15.0,0.2851818069463828
2016.0,1.0,3.0,16.0,0.3381841187364718
2016.0,1.0,3.0,17.0,0.49776249013376983
2016.0,1.0,3.0,18.0,0.5282817637684752
2016.0,1.0,3.0,19.0,0.5469827270530299
2016.0,1.0,3.0,20.0,0.6197065276032904
2016.0,1.0,3.0,21.0,0.649655295732471
2016.0,1.0,3.0,22.0,0.584389145105587
2016.0,1.0,3.0,23.0,0.1890068962324268
2016.0,1.0,3.0,24.0,-0.0001618698205916306
2016.0,1.0,4.0,1.0,0.0
2016.0,1.0,4.0,2.0,0.0
2016.0,1.0,4.0,3.0,0.0
2016.0,1.0,4.0,4.0,0.0
2016.0,1.0,4.0,5.0,0.0
2016.0,1.0,4.0,6.0,0.0
2016.0,1.0,4.0,7.0,0.0
2016.0,1.0,4.0,8.0,0.0
2016.0,1.0,4.0,9.0,0.0
2016.0,1.0,4.0,10.0,0.0
2016.0,1.0,4.0,11.0,0.0
2016.0,1.0,4.0,12.0,0.0
2016.0,1.0,4.0,13.0,0.0
2016.0,1.0,4.0,14.0,0.1654014627505983
2016.0,1.0,4.0,15.0,0.6270187617610838
2016.0,1.0,4.0,16.0,0.6999511336300188
2016.0,1.0,4.0,17.0,0.6649111145485284
2016.0,1.0,4.0,18.0,0.6286606999629122
2016.0,1.0,4.0,19.0,0.624786883509799
2016.0,1.0,4.0,20.0,0.6550215135846856
2016.0,1.0,4.0,21.0,0.6891220617930172
2016.0,1.0,4.0,22.0,0.6263372377197666
2016.0,1.0,4.0,23.0,0.18886688275860275
2016.0,1.0,4.0,24.0,-0.00019342952604130937
2016.0,1.0,5.0,1.0,0.0
2016.0,1.0,5.0,2.0,0.0
2016.0,1.0,5.0,3.0,0.0
2016.0,1.0,5.0,4.0,0.0
2016.0,1.0,5.0,5.0,0.0
2016.0,1.0,5.0,6.0,0.0
