BEGIN_DATA,,,,
Year,Month,Day,Hour,Solar_CF
2016.0,1.0,1.0,1.0,0.0
2016.0,1.0,1.0,2.0,0.0
2016.0,1.0,1.0,3.0,0.0
2016.0,1.0,1.0,4.0,0.0
2016.0,1.0,1.0,5.0,0.0
2016.0,1.0,1.0,6.0,0.0
2016.0,1.0,1.0,7.0,0.0
2016.0,1.0,1.0,8.0,0.0
2016.0,1.0,1.0,9.0,0.0
2016.0,1.0,1.0,10.0,0.0
2016.0,1.0,1.0,11.0,0.0
2016.0,1.0,1.0,12.0,0.0
2016.0,1.0,1.0,13.0,0.0
2016.0,1.0,1.0,14.0,0.006428844226264604
2016.0,1.0,1.0,15.0,0.08413568657512947
2016.0,1.0,1.0,16.0,0.2096419771503511
2016.0,1.0,1.0,17.0,0.2699423734547072
2016.0,1.0,1.0,18.0,0.2967054051159813
2016.0,1.0,1.0,19.0,0.2743051390894737
2016.0,1.0,1.0,20.0,0.15729697232480483
2016.0,1.0,1.0,21.0,0.08970405938717342
2016.0,1.0,1.0,22.0,0.05866297554696675
2016.0,1.0,1.0,23.0,0.01598088000241567
2016.0,1.0,1.0,24.0,-0.0003570058908275464
2016.0,1.0,2.0,1.0,0.0
2016.0,1.0,2.0,2.0,0.0
2016.0,1.0,2.0,3.0,0.0
2016.0,1.0,2.0,4.0,0.0
2016.0,1.0,2.0,5.0,0.0
2016.0,1.0,2.0,6.0,0.0
2016.0,1.0,2.0,7.0,0.0
2016.0,1.0,2.0,8.0,0.0
2016.0,1.0,2.0,9.0,0.0
2016.0,1.0,2.0,10.0,0.0
2016.0,1.0,2.0,11.0,0.0
2016.0,1.0,2.0,12.0,0.0
2016.0,1.0,2.0,13.0,0.0
2016.0,1.0,2.0,14.0,0.004049666817634016
2016.0,1.0,2.0,15.0,0.04605390197215103
2016.0,1.0,2.0,16.0,0.11551444854493317
2016.0,1.0,2.0,17.0,0.28957771738572957
2016.0,1.0,2.0,18.0,0.3399232764362188
2016.0,1.0,2.0,19.0,0.2090505063196557
2016.0,1.0,2.0,20.0,0.12804821714737186
2016.0,1.0,2.0,21.0,0.06635937068438913
2016.0,1.0,2.0,22.0,0.028081615157264598
2016.0,1.0,2.0,23.0,0.0029637657383949694
2016.0,1.0,2.0,24.0,-0.00019359763692422253
2016.0,1.0,3.0,1.0,0.0
2016.0,1.0,3.0,2.0,0.0
2016.0,1.0,3.0,3.0,0.0
2016.0,1.0,3.0,4.0,0.0
2016.0,1.0,3.0,5.0,0.0
2016.0,1.0,3.0,6.0,0.0
2016.0,1.0,3.0,7.0,0.0
2016.0,1.0,3.0,8.0,0.0
2016.0,1.0,3.0,9.0,0.0
2016.0,1.0,3.0,10.0,0.0
2016.0,1.0,3.0,11.0,0.0
2016.0,1.0,3.0,12.0,0.0
2016.0,1.0,3.0,13.0,0.0
2016.0,1.0,3.0,14.0,0.08301590580560414
2016.0,1.0,3.0,15.0,0.33003036425566545
2016.0,1.0,3.0,16.0,0.4346080127939614
2016.0,1.0,3.0,17.0,0.5696645222977771
2016.0,1.0,3.0,18.0,0.5551646448968879
2016.0,1.0,3.0,19.0,0.5769518174179141
2016.0,1.0,3.0,20.0,0.6171084641045034
2016.0,1.0,3.0,21.0,0.6462063230311932
2016.0,1.0,3.0,22.0,0.5871419439718473
2016.0,1.0,3.0,23.0,0.2507801153469986
2016.0,1.0,3.0,24.0,-0.0006207394932271664
2016.0,1.0,4.0,1.0,0.0
2016.0,1.0,4.0,2.0,0.0
2016.0,1.0,4.0,3.0,0.0
2016.0,1.0,4.0,4.0,0.0
2016.0,1.0,4.0,5.0,0.0
2016.0,1.0,4.0,6.0,0.0
2016.0,1.0,4.0,7.0,0.0
2016.0,1.0,4.0,8.0,0.0
2016.0,1.0,4.0,9.0,0.0
2016.0,1.0,4.0,10.0,0.0
2016.0,1.0,4.0,11.0,0.0
2016.0,1.0,4.0,12.0,0.0
2016.0,1.0,4.0,13.0,-2.0005321426537477e-07
2016.0,1.0,4.0,14.0,0.1679497246372511
2016.0,1.0,4.0,15.0,0.5540529807333511
2016.0,1.0,4.0,16.0,0.7026595879525932
2016.0,1.0,4.0,17.0,0.6704261924198279
2016.0,1.0,4.0,18.0,0.6346383626445352
2016.0,1.0,4.0,19.0,0.6290637167939711
2016.0,1.0,4.0,20.0,0.6547955505898554
2016.0,1.0,4.0,21.0,0.6863049888709165
2016.0,1.0,4.0,22.0,0.6286156762496654
2016.0,1.0,4.0,23.0,0.24899399471489397
2016.0,1.0,4.0,24.0,-0.0006634242548644943
2016.0,1.0,5.0,1.0,0.0
2016.0,1.0,5.0,2.0,0.0
2016.0,1.0,5.0,3.0,0.0
2016.0,1.0,5.0,4.0,0.0
2016.0,1.0,5.0,5.0,0.0
2016.0,1.0,5.0,6.0,0.0
