BEGIN_DATA,,,,
Year,Month,Day,Hour,Solar_CF
2016.0,1.0,1.0,1.0,0.0
2016.0,1.0,1.0,2.0,0.0
2016.0,1.0,1.0,3.0,0.0
2016.0,1.0,1.0,4.0,0.0
2016.0,1.0,1.0,5.0,0.0
2016.0,1.0,1.0,6.0,0.0
2016.0,1.0,1.0,7.0,0.0
2016.0,1.0,1.0,8.0,0.0
2016.0,1.0,1.0,9.0,0.0
2016.0,1.0,1.0,10.0,0.0
2016.0,1.0,1.0,11.0,0.0
2016.0,1.0,1.0,12.0,0.0
2016.0,1.0,1.0,13.0,0.0
2016.0,1.0,1.0,14.0,-0.0007347232838279524
2016.0,1.0,1.0,15.0,0.05170669503591533
2016.0,1.0,1.0,16.0,0.08291073115097934
2016.0,1.0,1.0,17.0,0.13227544074984826
2016.0,1.0,1.0,18.0,0.23817459992971568
2016.0,1.0,1.0,19.0,0.35645455290833467
2016.0,1.0,1.0,20.0,0.3586384921116288
2016.0,1.0,1.0,21.0,0.3860885213290551
2016.0,1.0,1.0,22.0,0.3623882773182561
2016.0,1.0,1.0,23.0,0.2596737844432191
2016.0,1.0,1.0,24.0,0.04242885636646889
2016.0,1.0,2.0,1.0,0.0
2016.0,1.0,2.0,2.0,0.0
2016.0,1.0,2.0,3.0,0.0
2016.0,1.0,2.0,4.0,0.0
2016.0,1.0,2.0,5.0,0.0
2016.0,1.0,2.0,6.0,0.0
2016.0,1.0,2.0,7.0,0.0
2016.0,1.0,2.0,8.0,0.0
2016.0,1.0,2.0,9.0,0.0
2016.0,1.0,2.0,10.0,0.0
2016.0,1.0,2.0,11.0,0.0
2016.0,1.0,2.0,12.0,0.0
2016.0,1.0,2.0,13.0,0.0
2016.0,1.0,2.0,14.0,-0.000812314706528457
2016.0,1.0,2.0,15.0,0.07026331267650653
2016.0,1.0,2.0,16.0,0.21890261729107857
2016.0,1.0,2.0,17.0,0.30999536216061513
2016.0,1.0,2.0,18.0,0.3121342033047599
2016.0,1.0,2.0,19.0,0.3015019061348714
2016.0,1.0,2.0,20.0,0.2682138701712972
2016.0,1.0,2.0,21.0,0.24555052371533007
2016.0,1.0,2.0,22.0,0.18960976204741053
2016.0,1.0,2.0,23.0,0.08590149361281528
2016.0,1.0,2.0,24.0,0.018246010668968277
2016.0,1.0,3.0,1.0,0.0
2016.0,1.0,3.0,2.0,0.0
2016.0,1.0,3.0,3.0,0.0
2016.0,1.0,3.0,4.0,0.0
2016.0,1.0,3.0,5.0,0.0
2016.0,1.0,3.0,6.0,0.0
2016.0,1.0,3.0,7.0,0.0
2016.0,1.0,3.0,8.0,0.0
2016.0,1.0,3.0,9.0,0.0
2016.0,1.0,3.0,10.0,0.0
2016.0,1.0,3.0,11.0,0.0
2016.0,1.0,3.0,12.0,0.0
2016.0,1.0,3.0,13.0,0.0
2016.0,1.0,3.0,14.0,-0.0009247627680289354
2016.0,1.0,3.0,15.0,0.21329663410281344
2016.0,1.0,3.0,16.0,0.6661125130234947
2016.0,1.0,3.0,17.0,0.7062460201245304
2016.0,1.0,3.0,18.0,0.6602894061312202
2016.0,1.0,3.0,19.0,0.6302214685932495
2016.0,1.0,3.0,20.0,0.6332403172427381
2016.0,1.0,3.0,21.0,0.6663478279205184
2016.0,1.0,3.0,22.0,0.6856594598378628
2016.0,1.0,3.0,23.0,0.5809590579183732
2016.0,1.0,3.0,24.0,0.03446379454908517
2016.0,1.0,4.0,1.0,0.0
2016.0,1.0,4.0,2.0,0.0
2016.0,1.0,4.0,3.0,0.0
2016.0,1.0,4.0,4.0,0.0
2016.0,1.0,4.0,5.0,0.0
2016.0,1.0,4.0,6.0,0.0
2016.0,1.0,4.0,7.0,0.0
2016.0,1.0,4.0,8.0,0.0
2016.0,1.0,4.0,9.0,0.0
2016.0,1.0,4.0,10.0,0.0
2016.0,1.0,4.0,11.0,0.0
2016.0,1.0,4.0,12.0,0.0
2016.0,1.0,4.0,13.0,0.0
2016.0,1.0,4.0,14.0,-0.000948295277754191
2016.0,1.0,4.0,15.0,0.4792617053775721
2016.0,1.0,4.0,16.0,0.6919653310253082
2016.0,1.0,4.0,17.0,0.7102266430827112
2016.0,1.0,4.0,18.0,0.6523474355599761
2016.0,1.0,4.0,19.0,0.6306018626114291
2016.0,1.0,4.0,20.0,0.633394021704037
2016.0,1.0,4.0,21.0,0.6581782696817798
2016.0,1.0,4.0,22.0,0.6229799519518117
2016.0,1.0,4.0,23.0,0.4473701103046271
2016.0,1.0,4.0,24.0,0.06087123882541806
2016.0,1.0,5.0,1.0,0.0
2016.0,1.0,5.0,2.0,0.0
2016.0,1.0,5.0,3.0,0.0
2016.0,1.0,5.0,4.0,0.0
2016.0,1.0,5.0,5.0,0.0
2016.0,1.0,5.0,6.0,0.0
2016.0,1.0,5.0,7.0,0.0
