BEGIN_DATA,,,,
Year,Month,Day,Hour,Solar_CF
2016.0,1.0,1.0,1.0,0.0
2016.0,1.0,1.0,2.0,0.0
2016.0,1.0,1.0,3.0,0.0
2016.0,1.0,1.0,4.0,0.0
2016.0,1.0,1.0,5.0,0.0
2016.0,1.0,1.0,6.0,0.0
2016.0,1.0,1.0,7.0,0.0
2016.0,1.0,1.0,8.0,0.0
2016.0,1.0,1.0,9.0,0.0
2016.0,1.0,1.0,10.0,0.0
2016.0,1.0,1.0,11.0,0.0
2016.0,1.0,1.0,12.0,0.0
2016.0,1.0,1.0,13.0,-2.7142361412259893e-05
2016.0,1.0,1.0,14.0,0.00147979273392456
2016.0,1.0,1.0,15.0,0.018256404770231615
2016.0,1.0,1.0,16.0,0.06921325838528992
2016.0,1.0,1.0,17.0,0.1456452217821247
2016.0,1.0,1.0,18.0,0.1897294802473194
2016.0,1.0,1.0,19.0,0.17109776361894952
2016.0,1.0,1.0,20.0,0.16964731300586902
2016.0,1.0,1.0,21.0,0.12678531624697734
2016.0,1.0,1.0,22.0,0.03812279587112932
2016.0,1.0,1.0,23.0,0.013053384411097237
2016.0,1.0,1.0,24.0,-0.0003021737243544848
2016.0,1.0,2.0,1.0,0.0
2016.0,1.0,2.0,2.0,0.0
2016.0,1.0,2.0,3.0,0.0
2016.0,1.0,2.0,4.0,0.0
2016.0,1.0,2.0,5.0,0.0
2016.0,1.0,2.0,6.0,0.0
2016.0,1.0,2.0,7.0,0.0
2016.0,1.0,2.0,8.0,0.0
2016.0,1.0,2.0,9.0,0.0
2016.0,1.0,2.0,10.0,0.0
2016.0,1.0,2.0,11.0,0.0
2016.0,1.0,2.0,12.0,0.0
2016.0,1.0,2.0,13.0,-6.812059087528481e-05
2016.0,1.0,2.0,14.0,0.026137973493388315
2016.0,1.0,2.0,15.0,0.21230257043062004
2016.0,1.0,2.0,16.0,0.36909522388844546
2016.0,1.0,2.0,17.0,0.4406809587377605
2016.0,1.0,2.0,18.0,0.46126992102344233
2016.0,1.0,2.0,19.0,0.4554848808570009
2016.0,1.0,2.0,20.0,0.3959153772782036
2016.0,1.0,2.0,21.0,0.2909028411441046
2016.0,1.0,2.0,22.0,0.09107380898870265
2016.0,1.0,2.0,23.0,0.00371543522867054
2016.0,1.0,2.0,24.0,-0.00019282254358932936
2016.0,1.0,3.0,1.0,0.0
2016.0,1.0,3.0,2.0,0.0
2016.0,1.0,3.0,3.0,0.0
2016.0,1.0,3.0,4.0,0.0
2016.0,1.0,3.0,5.0,0.0
2016.0,1.0,3.0,6.0,0.0
2016.0,1.0,3.0,7.0,0.0
2016.0,1.0,3.0,8.0,0.0
2016.0,1.0,3.0,9.0,0.0
2016.0,1.0,3.0,10.0,0.0
2016.0,1.0,3.0,11.0,0.0
2016.0,1.0,3.0,12.0,0.0
2016.0,1.0,3.0,13.0,-7.928457198311722e-05
2016.0,1.0,3.0,14.0,0.20256931072714168
2016.0,1.0,3.0,15.0,0.402212718919042
2016.0,1.0,3.0,16.0,0.3108597076888506
2016.0,1.0,3.0,17.0,0.5049151807477844
2016.0,1.0,3.0,18.0,0.5556677070711895
2016.0,1.0,3.0,19.0,0.5250626644951951
2016.0,1.0,3.0,20.0,0.44809549931301396
2016.0,1.0,3.0,21.0,0.39185295465481995
2016.0,1.0,3.0,22.0,0.3890994284444542
2016.0,1.0,3.0,23.0,0.2557386395914929
2016.0,1.0,3.0,24.0,-0.0005786642588658686
2016.0,1.0,4.0,1.0,0.0
2016.0,1.0,4.0,2.0,0.0
2016.0,1.0,4.0,3.0,0.0
2016.0,1.0,4.0,4.0,0.0
2016.0,1.0,4.0,5.0,0.0
2016.0,1.0,4.0,6.0,0.0
2016.0,1.0,4.0,7.0,0.0
2016.0,1.0,4.0,8.0,0.0
2016.0,1.0,4.0,9.0,0.0
2016.0,1.0,4.0,10.0,0.0
2016.0,1.0,4.0,11.0,0.0
2016.0,1.0,4.0,12.0,0.0
2016.0,1.0,4.0,13.0,-0.00015885423217570224
2016.0,1.0,4.0,14.0,0.23289586996707184
2016.0,1.0,4.0,15.0,0.60504780136609
2016.0,1.0,4.0,16.0,0.692002868404543
2016.0,1.0,4.0,17.0,0.6684329282063234
2016.0,1.0,4.0,18.0,0.642185438403931
2016.0,1.0,4.0,19.0,0.6406491884751755
2016.0,1.0,4.0,20.0,0.6659017548823246
2016.0,1.0,4.0,21.0,0.6945924020316158
2016.0,1.0,4.0,22.0,0.6336724990820457
2016.0,1.0,4.0,23.0,0.24925550941004007
2016.0,1.0,4.0,24.0,-0.0006485380350429329
2016.0,1.0,5.0,1.0,0.0
2016.0,1.0,5.0,2.0,0.0
2016.0,1.0,5.0,3.0,0.0
2016.0,1.0,5.0,4.0,0.0
2016.0,1.0,5.0,5.0,0.0
