BEGIN_DATA,,,,
Year,Month,Day,Hour,Solar_CF
2016.0,1.0,1.0,1.0,-8.459166576238634e-06
2016.0,1.0,1.0,2.0,0.0
2016.0,1.0,1.0,3.0,0.0
2016.0,1.0,1.0,4.0,0.0
2016.0,1.0,1.0,5.0,0.0
2016.0,1.0,1.0,6.0,0.0
2016.0,1.0,1.0,7.0,0.0
2016.0,1.0,1.0,8.0,0.0
2016.0,1.0,1.0,9.0,0.0
2016.0,1.0,1.0,10.0,0.0
2016.0,1.0,1.0,11.0,0.0
2016.0,1.0,1.0,12.0,0.0
2016.0,1.0,1.0,13.0,0.0
2016.0,1.0,1.0,14.0,-0.0002553414337871974
2016.0,1.0,1.0,15.0,0.14034164480179973
2016.0,1.0,1.0,16.0,0.34518962722191027
2016.0,1.0,1.0,17.0,0.49999401647723696
2016.0,1.0,1.0,18.0,0.47305321416386853
2016.0,1.0,1.0,19.0,0.45462195662105465
2016.0,1.0,1.0,20.0,0.44016005445627987
2016.0,1.0,1.0,21.0,0.4043919716737322
2016.0,1.0,1.0,22.0,0.30845383188207104
2016.0,1.0,1.0,23.0,0.1958209213812778
2016.0,1.0,1.0,24.0,0.043623657035809574
2016.0,1.0,2.0,1.0,-8.578266629307649e-06
2016.0,1.0,2.0,2.0,0.0
2016.0,1.0,2.0,3.0,0.0
2016.0,1.0,2.0,4.0,0.0
2016.0,1.0,2.0,5.0,0.0
2016.0,1.0,2.0,6.0,0.0
2016.0,1.0,2.0,7.0,0.0
2016.0,1.0,2.0,8.0,0.0
2016.0,1.0,2.0,9.0,0.0
2016.0,1.0,2.0,10.0,0.0
2016.0,1.0,2.0,11.0,0.0
2016.0,1.0,2.0,12.0,0.0
2016.0,1.0,2.0,13.0,0.0
2016.0,1.0,2.0,14.0,-0.00020308971028143037
2016.0,1.0,2.0,15.0,0.04898313494350489
2016.0,1.0,2.0,16.0,0.20897698970276735
2016.0,1.0,2.0,17.0,0.2832737065054055
2016.0,1.0,2.0,18.0,0.35283243440546497
2016.0,1.0,2.0,19.0,0.3991579792429125
2016.0,1.0,2.0,20.0,0.4289091616248113
2016.0,1.0,2.0,21.0,0.4435956311294247
2016.0,1.0,2.0,22.0,0.43131046872735995
2016.0,1.0,2.0,23.0,0.4049081987691142
2016.0,1.0,2.0,24.0,0.15641802503005509
2016.0,1.0,3.0,1.0,-1.0745480383259059e-05
2016.0,1.0,3.0,2.0,0.0
2016.0,1.0,3.0,3.0,0.0
2016.0,1.0,3.0,4.0,0.0
2016.0,1.0,3.0,5.0,0.0
2016.0,1.0,3.0,6.0,0.0
2016.0,1.0,3.0,7.0,0.0
2016.0,1.0,3.0,8.0,0.0
2016.0,1.0,3.0,9.0,0.0
2016.0,1.0,3.0,10.0,0.0
2016.0,1.0,3.0,11.0,0.0
2016.0,1.0,3.0,12.0,0.0
2016.0,1.0,3.0,13.0,0.0
