BEGIN_DATA,,,,
Year,Month,Day,Hour,Solar_CF
2016.0,1.0,1.0,1.0,0.0
2016.0,1.0,1.0,2.0,0.0
2016.0,1.0,1.0,3.0,0.0
2016.0,1.0,1.0,4.0,0.0
2016.0,1.0,1.0,5.0,0.0
2016.0,1.0,1.0,6.0,0.0
2016.0,1.0,1.0,7.0,0.0
2016.0,1.0,1.0,8.0,0.0
2016.0,1.0,1.0,9.0,0.0
2016.0,1.0,1.0,10.0,0.0
2016.0,1.0,1.0,11.0,0.0
2016.0,1.0,1.0,12.0,0.0
2016.0,1.0,1.0,13.0,0.0
2016.0,1.0,1.0,14.0,0.017318972934054808
2016.0,1.0,1.0,15.0,0.09681532434006139
2016.0,1.0,1.0,16.0,0.09786883058499751
2016.0,1.0,1.0,17.0,0.16393766891266237
2016.0,1.0,1.0,18.0,0.16712377683705842
2016.0,1.0,1.0,19.0,0.17659212904309743
2016.0,1.0,1.0,20.0,0.177493657400186
2016.0,1.0,1.0,21.0,0.20473265991174203
2016.0,1.0,1.0,22.0,0.12098781433115485
2016.0,1.0,1.0,23.0,0.04595036757083488
2016.0,1.0,1.0,24.0,-0.0009232985348597532
2016.0,1.0,2.0,1.0,0.0
2016.0,1.0,2.0,2.0,0.0
2016.0,1.0,2.0,3.0,0.0
2016.0,1.0,2.0,4.0,0.0
2016.0,1.0,2.0,5.0,0.0
2016.0,1.0,2.0,6.0,0.0
2016.0,1.0,2.0,7.0,0.0
2016.0,1.0,2.0,8.0,0.0
2016.0,1.0,2.0,9.0,0.0
2016.0,1.0,2.0,10.0,0.0
2016.0,1.0,2.0,11.0,0.0
2016.0,1.0,2.0,12.0,0.0
2016.0,1.0,2.0,13.0,0.0
2016.0,1.0,2.0,14.0,0.0001298829471779103
2016.0,1.0,2.0,15.0,0.04108839022846857
2016.0,1.0,2.0,16.0,0.09580902800240272
2016.0,1.0,2.0,17.0,0.1218158993226527
2016.0,1.0,2.0,18.0,0.14500645140077428
2016.0,1.0,2.0,19.0,0.14739873929477065
2016.0,1.0,2.0,20.0,0.12287194085849487
2016.0,1.0,2.0,21.0,0.08584059156270347
2016.0,1.0,2.0,22.0,0.044987493327776865
2016.0,1.0,2.0,23.0,0.029031068623869543
2016.0,1.0,2.0,24.0,-0.0008735308907875373
2016.0,1.0,3.0,1.0,0.0
2016.0,1.0,3.0,2.0,0.0
2016.0,1.0,3.0,3.0,0.0
2016.0,1.0,3.0,4.0,0.0
2016.0,1.0,3.0,5.0,0.0
2016.0,1.0,3.0,6.0,0.0
2016.0,1.0,3.0,7.0,0.0
2016.0,1.0,3.0,8.0,0.0
2016.0,1.0,3.0,9.0,0.0
2016.0,1.0,3.0,10.0,0.0
2016.0,1.0,3.0,11.0,0.0
2016.0,1.0,3.0,12.0,0.0
2016.0,1.0,3.0,13.0,0.0
2016.0,1.0,3.0,14.0,0.027525443168610938
2016.0,1.0,3.0,15.0,0.430826574266756
2016.0,1.0,3.0,16.0,0.5853546578587486
2016.0,1.0,3.0,17.0,0.6130897647291189
2016.0,1.0,3.0,18.0,0.603245786125446
2016.0,1.0,3.0,19.0,0.6063636608713717
2016.0,1.0,3.0,20.0,0.6285560054000147
2016.0,1.0,3.0,21.0,0.6587657005143419
2016.0,1.0,3.0,22.0,0.6193984448160925
2016.0,1.0,3.0,23.0,0.39406697467607554
2016.0,1.0,3.0,24.0,-0.0003508771249171703
2016.0,1.0,4.0,1.0,0.0
2016.0,1.0,4.0,2.0,0.0
2016.0,1.0,4.0,3.0,0.0
2016.0,1.0,4.0,4.0,0.0
2016.0,1.0,4.0,5.0,0.0
2016.0,1.0,4.0,6.0,0.0
2016.0,1.0,4.0,7.0,0.0
2016.0,1.0,4.0,8.0,0.0
2016.0,1.0,4.0,9.0,0.0
2016.0,1.0,4.0,10.0,0.0
2016.0,1.0,4.0,11.0,0.0
2016.0,1.0,4.0,12.0,0.0
2016.0,1.0,4.0,13.0,0.0
2016.0,1.0,4.0,14.0,0.03723587180129921
2016.0,1.0,4.0,15.0,0.3807673838906382
2016.0,1.0,4.0,16.0,0.6943735019332306
2016.0,1.0,4.0,17.0,0.6754319980288422
2016.0,1.0,4.0,18.0,0.6373501509522087
2016.0,1.0,4.0,19.0,0.6238978038868217
2016.0,1.0,4.0,20.0,0.6439283268833936
2016.0,1.0,4.0,21.0,0.6768156156944071
2016.0,1.0,4.0,22.0,0.6406177282782992
2016.0,1.0,4.0,23.0,0.38806630052273694
2016.0,1.0,4.0,24.0,-0.0003032918104224259
2016.0,1.0,5.0,1.0,0.0
2016.0,1.0,5.0,2.0,0.0
2016.0,1.0,5.0,3.0,0.0
2016.0,1.0,5.0,4.0,0.0
2016.0,1.0,5.0,5.0,0.0
2016.0,1.0,5.0,6.0,0.0
2016.0,1.0,5.0,7.0,0.0
