BEGIN_DATA,,,,
Year,Month,Day,Hour,Solar_CF
2016.0,1.0,1.0,1.0,0.0
2016.0,1.0,1.0,2.0,0.0
2016.0,1.0,1.0,3.0,0.0
2016.0,1.0,1.0,4.0,0.0
2016.0,1.0,1.0,5.0,0.0
2016.0,1.0,1.0,6.0,0.0
2016.0,1.0,1.0,7.0,0.0
2016.0,1.0,1.0,8.0,0.0
2016.0,1.0,1.0,9.0,0.0
2016.0,1.0,1.0,10.0,0.0
2016.0,1.0,1.0,11.0,0.0
2016.0,1.0,1.0,12.0,0.0
2016.0,1.0,1.0,13.0,0.0
2016.0,1.0,1.0,14.0,-0.00043757619235457526
2016.0,1.0,1.0,15.0,0.007366015975020408
2016.0,1.0,1.0,16.0,0.040915232020768216
2016.0,1.0,1.0,17.0,0.09069983655484021
2016.0,1.0,1.0,18.0,0.17321828398012104
2016.0,1.0,1.0,19.0,0.22528948588216047
2016.0,1.0,1.0,20.0,0.26345933036046676
2016.0,1.0,1.0,21.0,0.2220330445828983
2016.0,1.0,1.0,22.0,0.15128282311004948
2016.0,1.0,1.0,23.0,0.10303002374241767
2016.0,1.0,1.0,24.0,0.02073344711726994
2016.0,1.0,2.0,1.0,0.0
2016.0,1.0,2.0,2.0,0.0
2016.0,1.0,2.0,3.0,0.0
2016.0,1.0,2.0,4.0,0.0
2016.0,1.0,2.0,5.0,0.0
2016.0,1.0,2.0,6.0,0.0
2016.0,1.0,2.0,7.0,0.0
2016.0,1.0,2.0,8.0,0.0
2016.0,1.0,2.0,9.0,0.0
2016.0,1.0,2.0,10.0,0.0
2016.0,1.0,2.0,11.0,0.0
2016.0,1.0,2.0,12.0,0.0
2016.0,1.0,2.0,13.0,0.0
2016.0,1.0,2.0,14.0,-0.0006168215099461097
2016.0,1.0,2.0,15.0,0.03702631769482079
2016.0,1.0,2.0,16.0,0.11661472984432371
2016.0,1.0,2.0,17.0,0.20138666392280252
2016.0,1.0,2.0,18.0,0.24372586918015204
2016.0,1.0,2.0,19.0,0.2957692582340486
2016.0,1.0,2.0,20.0,0.2975704646153974
2016.0,1.0,2.0,21.0,0.24794798280124014
2016.0,1.0,2.0,22.0,0.1486636024422955
2016.0,1.0,2.0,23.0,0.08137548888804924
2016.0,1.0,2.0,24.0,0.021964775314877266
2016.0,1.0,3.0,1.0,0.0
2016.0,1.0,3.0,2.0,0.0
2016.0,1.0,3.0,3.0,0.0
2016.0,1.0,3.0,4.0,0.0
2016.0,1.0,3.0,5.0,0.0
2016.0,1.0,3.0,6.0,0.0
2016.0,1.0,3.0,7.0,0.0
2016.0,1.0,3.0,8.0,0.0
2016.0,1.0,3.0,9.0,0.0
2016.0,1.0,3.0,10.0,0.0
2016.0,1.0,3.0,11.0,0.0
2016.0,1.0,3.0,12.0,0.0
2016.0,1.0,3.0,13.0,0.0
2016.0,1.0,3.0,14.0,-0.0008194793619452974
2016.0,1.0,3.0,15.0,0.2350101455314753
2016.0,1.0,3.0,16.0,0.5310195215420285
2016.0,1.0,3.0,17.0,0.687091397721147
2016.0,1.0,3.0,18.0,0.668608105029487
2016.0,1.0,3.0,19.0,0.644598439071901
2016.0,1.0,3.0,20.0,0.6449548684018439
2016.0,1.0,3.0,21.0,0.6738038937981541
2016.0,1.0,3.0,22.0,0.6965273534048361
2016.0,1.0,3.0,23.0,0.618299545850777
2016.0,1.0,3.0,24.0,0.10028897453026701
2016.0,1.0,4.0,1.0,0.0
2016.0,1.0,4.0,2.0,0.0
2016.0,1.0,4.0,3.0,0.0
2016.0,1.0,4.0,4.0,0.0
2016.0,1.0,4.0,5.0,0.0
2016.0,1.0,4.0,6.0,0.0
2016.0,1.0,4.0,7.0,0.0
2016.0,1.0,4.0,8.0,0.0
2016.0,1.0,4.0,9.0,0.0
2016.0,1.0,4.0,10.0,0.0
2016.0,1.0,4.0,11.0,0.0
2016.0,1.0,4.0,12.0,0.0
2016.0,1.0,4.0,13.0,0.0
2016.0,1.0,4.0,14.0,-0.0009045796985147066
2016.0,1.0,4.0,15.0,0.4183231992249535
2016.0,1.0,4.0,16.0,0.6480729984818916
2016.0,1.0,4.0,17.0,0.7066421960120609
2016.0,1.0,4.0,18.0,0.6725664598276537
2016.0,1.0,4.0,19.0,0.6364072010987264
2016.0,1.0,4.0,20.0,0.6405879496917005
2016.0,1.0,4.0,21.0,0.6576977271071526
2016.0,1.0,4.0,22.0,0.6159793988287515
2016.0,1.0,4.0,23.0,0.4267865576048466
2016.0,1.0,4.0,24.0,0.12402722247595055
2016.0,1.0,5.0,1.0,0.0
2016.0,1.0,5.0,2.0,0.0
2016.0,1.0,5.0,3.0,0.0
2016.0,1.0,5.0,4.0,0.0
2016.0,1.0,5.0,5.0,0.0
2016.0,1.0,5.0,6.0,0.0
2016.0,1.0,5.0,7.0,0.0
