,V2G 0.00,V2G 0.10,V2G 0.20,V2G 0.30,V2G 0.40,V2G 0.50,V2G 0.60,V2G 0.70,V2G 0.80,V2G 0.90,V2G 1.00,V1G
0,100.0,79.35878665487554,76.64399735416674,75.21578766470407,74.28178696626703,73.73270689006526,73.26581288788303,72.98056148143233,72.82111289973784,72.67880542121962,72.55134940886295,0.0
1,87.69179280256536,76.90637635295813,75.29498163968205,74.36147814970495,73.73281391733745,73.26589652109011,72.9806235677516,72.82116193230476,72.6788426462604,72.55136236119449,72.4391163752002,0.1
2,82.10879976095865,75.60013350386023,74.52178482134143,73.75381470609366,73.26600507644112,72.98070670831284,72.8212275041868,72.67889331492542,72.5513963927096,72.43912674419914,72.34184401342819,0.2
3,79.98398430036929,74.82257902085549,73.91019683083339,73.28637111706342,72.9808081787422,72.82130903963271,72.67895791577709,72.5514466485118,72.4391411261031,72.34185302613885,72.25416863014654,0.30000000000000004
4,78.43100660166186,74.18568858483034,73.38523920109215,72.99346076463345,72.82140653261638,72.67903649892615,72.55151102827494,72.43918789291509,72.34186361042421,72.25417586336894,72.17390305948925,0.4
5,77.28533376069949,73.67830510542395,73.09128012180497,72.82151826711643,72.67912834970812,72.55158523910758,72.43924859393448,72.34188564073595,72.25418427191646,72.17390873154966,72.10023032418877,0.5
6,76.29875385807003,73.3329086653524,72.89560541447366,72.67923398958375,72.5516717297015,72.43931961032423,72.34193960363888,72.2541946981186,72.17391576930356,72.10023211634852,72.03322484567167,0.6000000000000001
7,75.4360122162515,73.07912282047356,72.72249924748272,72.55177050173384,72.43940014779052,72.34200656068046,72.25422856848334,72.17392458766764,72.10023812896117,72.0332248846927,71.976365540597,0.7000000000000001
8,74.68445269549086,72.87811243084896,72.57394132362019,72.43949288871701,72.34208214668286,72.25428864061912,72.17393552482612,72.10024565227367,72.0332254707603,71.97636556657115,71.92358203925103,0.8
9,74.03840453642476,72.71255310161153,72.44709437798149,72.34217011714038,72.2543616093148,72.17398568124347,72.1002552013022,72.03322979746328,71.97636560377778,71.92358207543448,71.87472331653689,0.9
10,73.47712461043285,72.56901257732721,72.3422756364974,72.25444461145558,72.17405513154657,72.1002810883582,72.03323914545987,71.97636564137095,71.92358211172034,71.87472335115534,71.82917937897466,1.0
