,V2G 0.00,V2G 0.10,V2G 0.20,V2G 0.30,V2G 0.40,V2G 0.50,V2G 0.60,V2G 0.70,V2G 0.80,V2G 0.90,V2G 1.00,V1G
0,100.0,70.04963382875889,54.06356106927057,45.630719327264266,40.29953376614052,36.02737781802311,33.42401600647217,32.52529486053444,31.93814415589062,31.415653913981256,30.947491490250133,0.0
1,90.90909114498386,64.21216455601486,49.904825797793556,42.37138241330861,37.612898350170646,34.1920877999778,32.52529487369558,31.93814416828794,31.41565392569855,30.947491501358137,30.52485828409981,0.1
2,83.33333375734765,59.2727674736927,46.34019556124817,39.54662375151706,35.262092358693934,33.157080858645,31.938144178911323,31.415653935762748,30.947491510919082,30.5248582932015,30.140646277717497,0.2
3,76.92307750618518,55.03899854599263,43.250849356254925,37.18099511368725,33.927425403877926,32.24053295389583,31.41565394582731,30.94749152048025,30.52485830230735,30.14064628621551,29.789844011159737,0.30000000000000004
4,71.42857214798582,51.36973214199083,40.5476714268973,35.58857576503199,32.975170907128906,31.434146221858857,30.94749153004188,30.52485831141341,30.14064629492691,29.78984401947386,29.468275267391732,0.4
5,66.6666675041683,48.15912403849447,38.16251443043658,34.17799922262946,32.133939433468704,30.94749153960376,30.524858320519943,30.140646303600104,29.789844027788455,29.468275275387207,29.173059189871985,0.5
6,62.500000940796866,45.32623453541628,36.28227097712253,32.93299924768488,31.382637812971897,30.52485832962687,30.140646312293118,29.78984403610358,29.46827528332857,29.173059197521813,28.900704583601872,0.6000000000000001
7,58.82353044368228,42.80811053268812,34.67941122405412,32.047493208571616,30.706224836419914,30.140646321020263,29.789844044419084,29.468275291309187,29.173059205172176,28.900704590969166,28.64852439287116,0.7000000000000001
8,55.55555666845492,40.555052214465825,33.482635940153386,31.338479310251195,30.140646329680433,29.789844052734843,29.46827529926674,29.173059212822398,28.900704598313947,28.648524399959058,28.414357073184593,0.8
9,52.63158013271465,38.52729972807933,32.447445856907684,30.703246656081625,29.789844061050886,29.468275307236226,29.173059220472975,28.900704608817122,28.64852440703856,28.414357080015325,28.19633922404481,0.9
10,50.000001250558455,36.69266652613476,31.513435877805833,30.14682641656501,29.468275315205876,29.17305922812381,28.90070461302665,28.648524414122445,28.414357086847325,28.19633923064005,28.082794115861066,1.0
