,V2G 0.00,V2G 0.10,V2G 0.20,V2G 0.30,V2G 0.40,V2G 0.50,V2G 0.60,V2G 0.70,V2G 0.80,V2G 0.90,V2G 1.00,V1G
0,100.0,78.63830335948812,64.87438611186836,57.204484176536305,52.26358915780178,49.43354905518189,47.23204994871309,45.28964807167652,44.11138449820625,43.635302916447465,43.25269337863003,0.0
1,90.91027476765687,72.08511154000392,60.02427788697157,53.72193470508599,50.16303667146011,47.749054179349535,45.776187607370936,44.17296233116364,43.6353029246019,43.25269338635757,42.93835502124008,0.1
2,83.4238756671002,66.54142660869404,56.54574008137083,51.2101932556217,48.34345710396126,46.26276293450882,44.632457729076776,43.63530293045988,43.25269339192259,42.93835502654005,42.652592876231985,0.2
3,77.58761169613882,62.0551704304541,53.7708560463503,49.25191658902071,46.87300169037496,45.1317470825213,43.759581535074695,43.2526933974878,42.93835503184015,42.65259288129111,42.39167961343651,0.30000000000000004
4,72.86109194728223,58.49458834490397,51.4474643830348,47.880617121477314,45.78221293859717,44.34699737302357,43.252693403053456,42.9383550371406,42.65259288635053,42.39167961827586,42.15250912257907,0.4
5,69.03737073333733,55.568466683415586,49.5381126795279,46.7319487024728,44.969360915804366,43.68559946372379,42.9383550424413,42.65259289141016,42.391679623123785,42.152509127216874,41.932472271010894,0.5
6,65.78545704049978,53.15773849401765,48.103136089846416,45.70422265665695,44.27748801865859,43.11538023870447,42.652592896470054,42.39167962795511,42.152509131854856,41.9324722754633,41.72936133111373,0.6000000000000001
7,62.92952444124709,51.05715850094173,46.887078548610944,44.869666121717664,43.679062901986406,42.65259290155122,42.39167963279517,42.15250913649309,41.932472279915864,41.729361335394955,41.54129564603505,0.7000000000000001
8,60.47144188197253,49.23899120128773,45.83801103718648,44.24299465914394,43.13504822120081,42.39167963764095,42.152509141159555,41.932472284368664,41.72936133967637,41.5412956501578,41.36666322419993,0.8
9,58.508026756200046,47.871278113470645,45.00149875594619,43.67329759367044,42.63834733733855,42.15250914577013,41.9324722888225,41.72936134395802,41.54129565428072,41.36666322817549,41.204074417683096,0.9
10,56.80455627842432,46.73561069783298,44.24104460695957,43.15314397132578,42.18304294429017,41.93247229327473,41.72936134823972,41.54129565841085,41.366663232151275,41.204074421524744,41.05232486494758,1.0
