status,value,system_cost,co2_emissions,main mean demand,main energy weighted price,ev1 mean demand,ev1 energy weighted price,ev2 mean demand,ev2 energy weighted price,price closure,scenario,demand series,demand_ev1 series,demand_ev2 series,ev_load,ev2_pct,lost_load dispatch,main_node_curtailment dispatch,fossgas capacity,fossgas dispatch,solar series,solar capacity,wind series,wind capacity,storage_ev1 capacity,storage_ev1 dispatch,storage_ev1 stored,storage_ev2 capacity,storage_ev2 dispatch,storage_ev2 stored,storage capacity,storage dispatch,storage stored,transfer capacity,transfer dispatch,fossgas curtailment,ev demand,total demand,ev load fraction
optimal,9191.531294,1.046394728,0,1,0.7795103,0.999999,0.348560366,1.00E-06,0.715429413,-0.081676305,Mike_EV\Looping_Sol_Bat_evLoad1_pctEVLoad21e-06\Looping_Sol_Bat_evLoad1_pctEVLoad21e-06_20220317-221526.xlsx,1,0.999999,1.00E-06,1.00E+00,0%,0.007569307,4.954372557,0,0,0.120154076,59.19096969,0.272143623,0,222.3497777,0.999999,20.47208366,0.00022235,1.03E-06,3.59E-05,18.65361891,0.484513025,5.37059936,1.28E-05,3.09E-08,0,1.999998,2.999998,0.666666444
optimal,7840.146052,0.892548503,0,1,0.852760278,0.63,0.224895011,0.07,0.756113855,-0.154823602,Mike_EV\Looping_Sol_Bat_evLoad0p7_pctEVLoad20p1\Looping_Sol_Bat_evLoad0p7_pctEVLoad20p1_20220317-204009.xlsx,1,0.63,0.07,7.00E-01,10%,0.015702338,4.19863937,0,0,0.120154076,50.05361133,0.272143623,0,140.0805,0.63,12.37815525,15.5645,0.34783523,4.154954409,4.854358602,0.201244602,1.424680043,0.817902266,0.27783523,0,1.26,2.26,0.557522124
optimal,8094.779989,0.921536884,0,1,0.773450692,0.9,0.333498444,0.1,0.718532874,-0.223915695,Mike_EV\Looping_Sol_Bat_evLoad1_pctEVLoad20p1\Looping_Sol_Bat_evLoad1_pctEVLoad20p1_20220317-221903.xlsx,1,0.9,0.1,1.00E+00,10%,0.00922671,4.993586025,0,0,0.120154076,59.50173865,0.272143623,0,200.115,0.9,17.75429792,22.235,0.582774698,6.04046479,0,0,0,1.344281262,0.482774698,0,1.8,2.8,0.642857143
optimal,7707.71604,0.877472227,0,1,0.881761316,0.27,0.164517476,0.03,0.777066113,-0.072020791,Mike_EV\Looping_Sol_Bat_evLoad0p3_pctEVLoad20p1\Looping_Sol_Bat_evLoad0p3_pctEVLoad20p1_20220317-180436.xlsx,1,0.27,0.03,3.00E-01,10%,0.01847523,3.253555363,0,0,0.120154076,38.46716322,0.272143623,0,60.0345,0.27,4.674450398,6.6705,0.035705608,0.86314398,20.04123829,0.475383729,5.138730064,0.192102537,0.005705608,0,0.54,1.54,0.350649351
optimal,7790.282205,0.886871836,0,1,0.852843445,0.54,0.224728557,0.06,0.755997586,-0.132684885,Mike_EV\Looping_Sol_Bat_evLoad0p6_pctEVLoad20p1\Looping_Sol_Bat_evLoad0p6_pctEVLoad20p1_20220317-200955.xlsx,1,0.54,0.06,6.00E-01,10%,0.016634854,3.952209009,0,0,0.120154076,47.07009965,0.272143623,0,120.069,0.54,10.44949014,13.341,0.205254233,2.880327658,8.255728983,0.333941674,2.828093263,0.618029715,0.145254233,0,1.08,2.08,0.519230769
optimal,7892.684469,0.898529653,0,1,0.898529654,9.00E-11,0,1.00E-11,0.763260016,-1.84E-09,Mike_EV\Looping_Sol_Bat_evLoad0p0_pctEVLoad20p1\Looping_Sol_Bat_evLoad0p0_pctEVLoad20p1_20220317-154001.xlsx,1,9.00E-11,1.00E-11,1.00E-10,10%,0.018475738,3.134849093,0,0,0.120154076,34.70658656,0.272143623,0,2.00E-08,9.00E-11,0,2.22E-09,2.02E-10,0,29.44240442,0.483380902,4.995437844,0,1.92E-10,0,1.80E-10,1,1.80E-10
optimal,7809.671822,0.889079215,0,1,0.898266317,0.09,0.036416319,0.01,0.7912842,-0.020377413,Mike_EV\Looping_Sol_Bat_evLoad0p1_pctEVLoad20p1\Looping_Sol_Bat_evLoad0p1_pctEVLoad20p1_20220317-110144.xlsx,1,0.09,0.01,1.00E-01,10%,0.0188483,3.051454716,0,0,0.120154076,34.93382017,0.272143623,0,20.0115,0.09,0.997637632,2.2235,0.011483821,0.157460268,27.35096931,0.48137212,5.388457798,0.051504722,0.001483821,0,0.18,1.18,0.152542373
optimal,7735.753297,0.880664082,0,1,0.893765575,0.18,0.057500723,0.02,0.796709392,-0.039385811,Mike_EV\Looping_Sol_Bat_evLoad0p2_pctEVLoad20p1\Looping_Sol_Bat_evLoad0p2_pctEVLoad20p1_20220317-173406.xlsx,1,0.18,0.02,2.00E-01,10%,0.018821552,3.069316033,0,0,0.120154076,36.00704199,0.272143623,0,40.023,0.18,2.932376904,4.447,0.023410863,0.472041385,24.39418793,0.478780071,5.541290876,0.119001768,0.003410863,0,0.36,1.36,0.264705882
optimal,7712.398799,0.878005328,0,1,0.872754615,0.36,0.16474662,0.04,0.780847184,-0.085291958,Mike_EV\Looping_Sol_Bat_evLoad0p4_pctEVLoad20p1\Looping_Sol_Bat_evLoad0p4_pctEVLoad20p1_20220317-190022.xlsx,1,0.36,0.04,4.00E-01,10%,0.018489094,3.463875386,0,0,0.120154076,41.1411594,0.272143623,0,80.046,0.36,6.607422241,8.894,0.058175736,1.373660528,15.32258969,0.461600812,4.507653274,0.273804604,0.018175736,0,0.72,1.72,0.418604651
optimal,7740.769606,0.881235155,0,1,0.853271965,0.45,0.223583464,0.05,0.756012556,-0.110449997,Mike_EV\Looping_Sol_Bat_evLoad0p5_pctEVLoad20p1\Looping_Sol_Bat_evLoad0p5_pctEVLoad20p1_20220317-193539.xlsx,1,0.45,0.05,5.00E-01,10%,0.017571987,3.705698827,0,0,0.120154076,44.08598389,0.272143623,0,100.0575,0.45,8.530189684,11.1175,0.114620459,1.983065087,11.65738414,0.414802167,3.805156739,0.418140451,0.064620459,0,0.9,1.9,0.473684211
