status,value,system_cost,co2_emissions,main mean demand,main energy weighted price,ev1 mean demand,ev1 energy weighted price,ev2 mean demand,ev2 energy weighted price,price closure,scenario,demand series,demand_ev1 series,demand_ev2 series,lost_load dispatch,main_node_curtailment dispatch,fossgas capacity,fossgas dispatch,solar series,solar capacity,wind series,wind capacity,storage_ev1 capacity,storage_ev1 dispatch,storage_ev1 stored,storage_ev2 capacity,storage_ev2 dispatch,storage_ev2 stored,storage capacity,storage dispatch,storage stored,transfer capacity,transfer dispatch,fossgas curtailment,ev demand,total demand,ev load fraction
optimal,867.3584424706794,0.0987429920845491,1214.827200121476,1,0.1676950453884548,8.999999999999999e-11,0,1e-11,0.1506153974405368,-0.06895205330541189,Mike_EV\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p1\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p1_20220319-112009.xlsx,1.0,8.999999999999999e-11,1e-11,2.052338185578455e-05,0.2677456155557832,1.171187301134665,0.3000000000299983,0.1201540762750455,1.180307916242813,0.2721436232923498,3.034817694367524,2.00115e-08,8.999987623690333e-11,0.0,2.2235e-09,1.380736559075066e-09,0.0,0.0,0.0,0.0,0.0,1.370737208172825e-09,0.871187301104667,1.7999999999999997e-10,1.00000000018,1.7999999996759998e-10
optimal,867.3584392532017,0.09874299171826066,1214.827200121478,1,0.1676950453884548,8.000000000000002e-11,0,2e-11,0.1506153974405368,-0.06895205367320649,Mike_EV\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p2\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p2_20220319-112331.xlsx,1.0,8.000000000000002e-11,2e-11,2.052338143792345e-05,0.2677456121349814,1.171187299929497,0.3000000000299988,0.1201540762750455,1.180307920696945,0.2721436232923498,3.034817674795859,1.7788e-08,7.999987952160784e-11,0.0,4.447e-09,2.761473966185379e-09,0.0,0.0,0.0,0.0,0.0,2.74147441634565e-09,0.8711872998994975,1.6000000000000004e-10,1.00000000016,1.5999999997440004e-10
optimal,867.358436035724,0.09874299135197223,1214.82720012148,1,0.1676950453884548,7e-11,0,2.999999999999999e-11,0.1506153974405368,-0.06895205404100108,Mike_EV\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p3\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p3_20220319-112655.xlsx,1.0,7e-11,2.999999999999999e-11,2.052338102006242e-05,0.2677456087141796,1.171187298724328,0.3000000000299994,0.1201540762750455,1.180307925151079,0.2721436232923498,3.034817655224193,1.55645e-08,6.999989458140686e-11,0.0,6.6705e-09,4.142211494224044e-09,0.0,0.0,0.0,0.0,0.0,4.112211624518476e-09,0.8711872986943282,1.4e-10,1.00000000014,1.3999999998040001e-10
optimal,867.3584328182493,0.09874299098568412,1214.827200121476,1,0.1676950453884548,5.999999999999999e-11,0,4.000000000000001e-11,0.1506153974405368,-0.06895205440879534,Mike_EV\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p4\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p4_20220319-113033.xlsx,1.0,5.999999999999999e-11,4.000000000000001e-11,2.05233806022019e-05,0.2677456052933819,1.171187297519158,0.3000000000299984,0.1201540762750455,1.180307929605198,0.2721436232923498,3.034817635652555,1.3341e-08,5.999990964120587e-11,0.0,8.894e-09,5.522948682778633e-09,0.0,0.0,0.0,0.0,0.0,5.4829488326913e-09,0.8711872974891591,1.1999999999999997e-10,1.00000000012,1.1999999998559997e-10
optimal,867.3584296007715,0.09874299061939566,1214.827200121479,1,0.1676950453884548,5.000000000000001e-11,0,5e-11,0.1506153974405368,-0.06895205477658996,Mike_EV\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p5\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p5_20220319-113401.xlsx,1.0,5.000000000000001e-11,5e-11,2.052338018434105e-05,0.2677456018725802,1.171187296313988,0.3000000000299989,0.1201540762750455,1.180307934059331,0.2721436232923498,3.03481761608089,1.11175e-08,4.999946416743589e-11,0.0,1.11175e-08,6.903685914650479e-09,0.0,0.0,0.0,0.0,0.0,6.853686040864125e-09,0.8711872962839895,1.0000000000000002e-10,1.0000000001,9.999999999000001e-11
optimal,867.3584263832963,0.09874299025310751,1214.827200121475,1,0.1676950453884548,4e-11,0,6e-11,0.1506153974405368,-0.06895205514438424,Mike_EV\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p6\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p6_20220319-113716.xlsx,1.0,4e-11,6e-11,2.052337976648038e-05,0.2677455984517821,1.171187295108818,0.3000000000299982,0.1201540762750455,1.180307938513452,0.2721436232923498,3.034817596509249,8.894e-09,3.999938333393868e-11,0.0,1.3341e-08,8.284423229328727e-09,0.0,0.0,0.0,0.0,0.0,8.224423249036951e-09,0.8711872950788203,8e-11,1.00000000008,7.99999999936e-11
optimal,867.3584231658181,0.098742989886819,1214.827200121478,1,0.1676950453884548,3e-11,0,7e-11,0.1506153974405368,-0.06895205551217891,Mike_EV\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p7\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p7_20220319-114044.xlsx,1.0,3e-11,7e-11,2.052337934861951e-05,0.2677455950309797,1.17118729390365,0.3000000000299989,0.1201540762750455,1.180307942967587,0.2721436232923498,3.034817576937579,6.670500000000001e-09,2.999951964052227e-11,0.0,1.55645e-08,9.665160434216846e-09,0.0,0.0,0.0,0.0,0.0,9.595160457209776e-09,0.8711872938736508,6e-11,1.00000000006,5.999999999639999e-11
optimal,867.358419948339,0.0987429895205304,1214.827200121483,1,0.1676950453884548,2e-11,0,8.000000000000001e-11,0.1506153974405368,-0.06895205587997366,Mike_EV\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p8\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p8_20220319-114407.xlsx,1.0,2e-11,8.000000000000001e-11,2.052337893075821e-05,0.2677455916101764,1.171187292698481,0.30000000003,0.1201540762750455,1.180307947421724,0.2721436232923498,3.034817557365904,4.446999999999999e-09,1.999837212952503e-11,0.0,1.7788e-08,1.104589763910496e-08,0.0,0.0,0.0,0.0,0.0,1.09658976653826e-08,0.8711872926684812,4e-11,1.00000000004,3.99999999984e-11
optimal,867.3584135455638,0.09874298879161701,1214.827200121476,1,0.1676950453884548,1.000000000000001e-13,0,9.99e-11,0.1506153974405368,-0.06895205661188432,Mike_EV\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p999\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p999_20220319-115051.xlsx,1.0,1.000000000000001e-13,9.99e-11,2.052337809921605e-05,0.2677455848027882,1.171187290300193,0.3000000000299984,0.1201540762750455,1.180307956285427,0.2721436232923498,3.034817518418337,2.223500000000002e-11,8.209651291679315e-14,0.0,2.2212765e-08,1.379356467683232e-08,0.0,0.0,0.0,0.0,0.0,1.369366470964652e-08,0.871187290270194,2.000000000000002e-13,1.0000000000002,1.999999999999602e-13
optimal,867.3584167308654,0.09874298915424243,1214.827200121477,1,0.1676950453884548,9.999999999999998e-12,0,9e-11,0.1506153974405368,-0.06895205624776779,Mike_EV\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p9\Looping_Gas_Sol_Wnd_evLoad0p0_pctEVLoad20p9_20220319-114731.xlsx,1.0,9.999999999999998e-12,9e-11,2.052337851289817e-05,0.2677455881893803,1.17118729149331,0.3000000000299985,0.1201540762750455,1.18030795187584,0.2721436232923498,3.034817537794275,2.2235e-09,9.997729968065034e-12,0.0,2.00115e-08,1.242663484399309e-08,0.0,0.0,0.0,0.0,0.0,1.233663487355543e-08,0.8711872914633119,1.9999999999999996e-11,1.00000000002,1.9999999999599996e-11
