status,value,system_cost,co2_emissions,main mean demand,main energy weighted price,ev1 mean demand,ev1 energy weighted price,ev2 mean demand,ev2 energy weighted price,price closure,scenario,demand series,demand_ev1 series,demand_ev2 series,lost_load dispatch,main_node_curtailment dispatch,fossgas capacity,fossgas dispatch,solar series,solar capacity,wind series,wind capacity,storage_ev1 capacity,storage_ev1 dispatch,storage_ev1 stored,storage_ev2 capacity,storage_ev2 dispatch,storage_ev2 stored,storage capacity,storage dispatch,storage stored,transfer capacity,transfer dispatch,fossgas curtailment,ev demand,total demand,ev load fraction
optimal,4594.090105158123,0.523006614885943,0,1,0.5230066159805236,8.999999999999999e-11,0,1e-11,0.4736051330825823,-1.099316637720449e-09,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p1\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p1_20220319-005129.xlsx,1.0,8.999999999999999e-11,1e-11,0.006553413983925126,3.20795726594972,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303236265104,2.00115e-08,8.999987623690333e-11,0.0,2.2235e-09,1.246691459685657e-10,0.0,16.92207322637459,0.03628501562439397,0.7827994764838363,0.0,1.146712870317185e-10,0.0,1.7999999999999997e-10,1.00000000018,1.7999999996759998e-10
optimal,4594.09009554333,0.5230066137913627,0,1,0.5230066159805236,8.000000000000002e-11,0,2e-11,0.4736051330825823,-2.19863294237399e-09,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p2\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p2_20220319-005434.xlsx,1.0,8.000000000000002e-11,2e-11,0.006553413966802312,3.207957257800377,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303233238637,1.7788e-08,7.999987952160784e-11,0.0,4.447e-09,2.493410185187631e-10,0.0,16.92207318972706,0.03628501571916053,0.7827994785163949,0.0,2.29342574063437e-10,0.0,1.6000000000000004e-10,1.00000000016,1.5999999997440004e-10
optimal,4594.090085928538,0.5230066126967825,0,1,0.5230066159805236,7e-11,0,2.999999999999999e-11,0.4736051330825824,-3.297949247027532e-09,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p3\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p3_20220319-005746.xlsx,1.0,7e-11,2.999999999999999e-11,0.006553413949679484,3.207957249651037,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.4530323021217,1.55645e-08,6.999989458140686e-11,0.0,6.6705e-09,3.740133967992326e-10,0.0,16.92207315307952,0.03628501581392703,0.7827994805489521,0.0,3.440138610951554e-10,0.0,1.4e-10,1.00000000014,1.3999999998040001e-10
optimal,4594.090076313745,0.5230066116022023,0,1,0.5230066159805236,5.999999999999999e-11,0,4.000000000000001e-11,0.4736051330825823,-4.397265440658771e-09,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p4\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p4_20220319-010107.xlsx,1.0,5.999999999999999e-11,4.000000000000001e-11,0.006553413932556665,3.207957241501696,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303227185703,1.3341e-08,5.999990964120587e-11,0.0,8.894e-09,4.986845528788856e-10,0.0,16.92207311643199,0.03628501590869357,0.78279948258151,0.0,4.586851481268739e-10,0.0,1.1999999999999997e-10,1.00000000012,1.1999999998559997e-10
optimal,4594.090066698953,0.5230066105076221,0,1,0.5230066159805236,5.000000000000001e-11,0,5e-11,0.4736051330825823,-5.496581745312312e-09,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p5\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p5_20220319-010435.xlsx,1.0,5.000000000000001e-11,5e-11,0.006553413915433845,3.207957233352355,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303224159236,1.11175e-08,4.999946416743589e-11,0.0,1.11175e-08,6.233559123229358e-10,0.0,16.92207307978446,0.03628501600346012,0.7827994846140688,0.0,5.733564351585924e-10,0.0,1.0000000000000002e-10,1.0000000001,9.999999999000001e-11
optimal,4594.09005708416,0.5230066094130419,0,1,0.5230066159805236,4e-11,0,6e-11,0.4736051330825823,-6.595897938943551e-09,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p6\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p6_20220319-010749.xlsx,1.0,4e-11,6e-11,0.006553413898311024,3.207957225203014,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303221132769,8.894e-09,3.999938333393868e-11,0.0,1.3341e-08,7.480276343028329e-10,0.0,16.92207304313693,0.03628501609822664,0.7827994866466264,0.0,6.880277221903108e-10,0.0,8e-11,1.00000000008,7.99999999936e-11
optimal,4594.090047469368,0.5230066083184618,0,1,0.5230066159805236,3e-11,0,7e-11,0.4736051330825823,-7.69521413257479e-09,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p7\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p7_20220319-011055.xlsx,1.0,3e-11,7e-11,0.006553413881188201,3.207957217053674,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303218106302,6.670500000000001e-09,2.999951964052227e-11,0.0,1.55645e-08,8.726989066866384e-10,0.0,16.92207300648939,0.03628501619299317,0.7827994886791844,0.0,8.026990092220294e-10,0.0,6e-11,1.00000000006,5.999999999639999e-11
optimal,4594.090037854576,0.5230066072238816,0,1,0.5230066159805236,2e-11,0,8.000000000000001e-11,0.4736051330825823,-8.79453032620603e-09,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p8\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p8_20220319-011359.xlsx,1.0,2e-11,8.000000000000001e-11,0.006553413864065386,3.207957208904334,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303215079835,4.446999999999999e-09,1.999837212952503e-11,0.0,1.7788e-08,9.973701790704438e-10,0.0,16.92207296984185,0.03628501628775968,0.7827994907117417,0.0,9.173702962537478e-10,0.0,4e-11,1.00000000004,3.99999999984e-11
optimal,4594.090018721138,0.5230066050456669,0,1,0.5230066159805236,1.000000000000001e-13,0,9.99e-11,0.4736051330825823,-1.098216984019018e-08,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p999\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p999_20220319-012025.xlsx,1.0,1.000000000000001e-13,9.99e-11,0.006553413829990968,3.207957192687144,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303209057165,2.223500000000002e-11,8.209651291679315e-14,0.0,2.2212765e-08,1.245466024184572e-09,0.0,16.92207289691327,0.03628501647634509,0.7827994947565327,0.0,1.145566157446868e-09,0.0,2.000000000000002e-13,1.0000000000002,1.999999999999602e-13
optimal,4594.090028239783,0.5230066061293014,0,1,0.5230066159805236,9.999999999999998e-12,0,9e-11,0.4736051330825823,-9.89384663085957e-09,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p9\Looping_Wnd_Bat_evLoad0p0_pctEVLoad20p9_20220319-011714.xlsx,1.0,9.999999999999998e-12,9e-11,0.006553413846942562,3.207957200754992,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303212053368,2.2235e-09,9.997729968065034e-12,0.0,2.00115e-08,1.122041463229344e-09,0.0,16.92207293319432,0.03628501638252622,0.7827994927443,0.0,1.032041583285466e-09,0.0,1.9999999999999996e-11,1.00000000002,1.9999999999599996e-11
optimal,4594.090114772916,0.5230066159805231,0,1,0.5230066159805236,9.999990000000001e-11,0,1e-16,0.4736051330825823,-4.440892098500626e-16,Mike_EV\Looping_Wnd_Bat_evLoad0p0_pctEVLoad21e-06\Looping_Wnd_Bat_evLoad0p0_pctEVLoad21e-06_20220319-004816.xlsx,1.0,9.999990000000001e-11,1e-16,0.006553414001047951,3.20795727409906,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.45303239291571,2.2234977765e-08,9.999976248558566e-11,0.0,2.2235e-14,0.0,0.0,16.92207326302212,0.03628501552962745,0.7827994744512783,0.0,0.0,0.0,1.9999980000000002e-10,1.0000000001999998,1.999997999600001e-10
optimal,4483.511468358932,0.5104179722630843,0,1,0.5230049972272782,0.09000000000000001,1.444517037075688e-08,0.01,0.4787919200464282,-0.01737494546472362,Mike_EV\Looping_Wnd_Bat_evLoad0p1_pctEVLoad20p1\Looping_Wnd_Bat_evLoad0p1_pctEVLoad20p1_20220319-012638.xlsx,1.0,0.09000000000000001,0.01,0.006621148096746077,3.153852819293228,0.0,0.0,0.1201540762750455,0.0,0.2721436232923498,15.66173339927532,20.0115,0.09000000000000001,0.301911743326976,2.2235,0.01152664579012375,0.09218216617975622,14.66228765795211,0.03343255044018748,0.8422246875102669,0.06916017800877254,0.001526645790123753,0.0,0.18000000000000002,1.18,0.15254237288135597
