,V2G 0.00,V2G 0.10,V2G 0.20,V2G 0.30,V2G 0.40,V2G 0.50,V2G 0.60,V2G 0.70,V2G 0.80,V2G 0.90,V2G 1.00,V1G
0,100.0,92.50733850392433,91.83865394228121,91.34917938213869,90.99847648557802,90.7310446584548,90.5215778476077,90.34183218243442,90.23460238960556,90.15481564603964,90.1316897231106,0.0
1,96.42443158447645,91.8386541908261,91.3491796115212,90.99847669854675,90.73104485720589,90.52157803392261,90.34183235779435,90.23460255522306,90.15481580293452,90.13168987213592,90.12953084598057,0.1
2,93.44509830524419,91.34917983390858,90.99847690503762,90.7310450499248,90.5215782146221,90.34183252790324,90.23460271588502,90.15481595513621,90.13169001669124,90.129530983617,90.12756822631086,0.2
3,91.34917851563193,90.9984771115706,90.7310452427204,90.52157839539278,90.341832698062,90.23460287658843,90.15481610737599,90.13169016129636,90.12953112128871,90.1275683576913,90.125776269221,0.30000000000000004
4,90.99847588753323,90.73104543558618,90.52157857621927,90.341832868264,90.23460303733214,90.15481625965441,90.13169030593421,90.12953125900889,90.12756848910549,90.12577639488978,90.12413364188848,0.4
5,90.7310442932346,90.5215787570845,90.34183303849777,90.2346031981138,90.15481641197887,90.13169045061298,90.12953139676073,90.12756862056645,90.12577652059076,90.12413376232168,90.1226224247431,0.5
6,90.52157768618213,90.34183320877493,90.2346033589314,90.15481656434619,90.13169059533637,90.12953153455356,90.12756875205852,90.1257766463371,90.12413388278739,90.12262254035929,90.12122745507021,0.6000000000000001
7,90.34183220091441,90.2346035197829,90.15481671672858,90.13169074008607,90.1295316723867,90.12756888358953,90.12577677211378,90.12413400329405,90.12262265600629,90.12122756624028,90.11993581648441,0.7000000000000001
8,90.2346025679409,90.15481686913037,90.13169088486065,90.12953181026752,90.12756901516003,90.12577689792825,90.12413412383185,90.12262277169508,90.12122767744088,90.11993592353802,90.11873643779786,0.8
9,90.15481596741073,90.13169102965811,90.12953194812494,90.12756914675316,90.1257770237798,90.1241342444057,90.12262288741303,90.12122778868115,90.11993603062125,90.11873654102897,90.11761977488267,0.9
10,90.13169017303483,90.12953208603103,90.12756927837063,90.12577714965221,90.12413436501386,90.1226230031695,90.12122789995085,90.11993613774281,90.11873664428921,90.11761987455532,90.1165775561621,1.0
