,V2G 0.00,V2G 0.10,V2G 0.20,V2G 0.30,V2G 0.40,V2G 0.50,V2G 0.60,V2G 0.70,V2G 0.80,V2G 0.90,V2G 1.00,V1G
0,100.0,66.59102550420289,56.218495865387276,49.01278767783153,44.92511943376549,42.010144494287836,40.21417714409981,39.46633419206005,38.802974156391265,38.20944149436556,37.676884331671275,0.0
1,90.90909119953668,61.04177364155981,51.893996425156274,45.897632773729406,42.91408824099926,40.30479619653097,39.46633420834482,38.80297417173447,38.209441508869986,37.676884345423844,37.196831793937065,0.1
2,83.33333385736171,56.3462528295911,48.201739272097456,43.823191575326284,41.15534363539419,39.466334222308234,38.80297418492214,38.20944152136355,37.67688435729273,37.196831805240734,36.76110366289915,0.2
3,76.92307764466618,52.32152070505431,45.01562422269773,42.0332768238948,39.60825561887227,38.80297419810997,38.20944153385725,37.67688436916172,37.19683181654454,36.761103673685874,36.36330578112509,0.30000000000000004
4,71.42857231944197,48.83341953046733,42.940462030411375,40.45901135449726,38.83062784164261,38.20944154635128,37.67688438103083,37.196831827848435,36.76110369463619,36.36330579144519,35.998657723456574,0.4
5,66.66666770420747,46.167768023348025,41.31638475207852,39.06166714730715,38.216905965974,37.67688439345921,37.196831839152864,36.76110369526643,36.36330580176664,35.99865773334818,35.664716168941425,0.5
6,62.50000116586417,44.008772056344185,39.878674463737305,38.272625263928134,37.67688440477116,37.19683185045818,36.76110370605794,36.363305812088996,35.998657743240386,35.664716178437885,35.35791807658752,0.6000000000000001
7,58.96830984681534,42.08972697127091,38.60024578222557,37.710479938310456,37.196831861764046,36.761103716850094,36.363305823323294,35.998657753133116,35.664716187934744,35.35791808571892,35.07384576922091,0.7000000000000001
8,55.990664155991624,40.39269623460887,37.77950580795264,37.21195551282739,36.76110372765886,36.363305832735065,35.998657763026074,35.664716197431865,35.357918094850675,35.07384577801423,34.810241637508966,0.8
9,53.443963446559785,39.021889249054176,37.26102923236467,36.763810284613825,36.36330584305836,35.99865777291921,35.66471620692929,35.35791810450443,35.0738457868196,34.81024164599082,34.56485074523737,0.9
10,51.20499171863988,37.961157334844216,36.7990020502405,36.363305853444054,35.99865778281252,35.664716216548676,35.3579181131146,35.07384579560159,34.810241654468,34.564850753421524,34.33581924593264,1.0
