Demand data from Toktarova 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,Demand (MW)
2019,1,1,1,1.0612988787224409
2019,1,1,2,1.0619384912815377
2019,1,1,3,1.0625500694543197
2019,1,1,4,1.0625383735797698
2019,1,1,5,1.0625266777052247
2019,1,1,6,1.062514937189937
2019,1,1,7,1.0625031966746492
2019,1,1,8,1.0624914561593615
2019,1,1,9,1.0624796710033313
2019,1,1,10,1.0624678858473011
2019,1,1,11,1.062456100691271
2019,1,1,12,1.062445788679744
2019,1,1,13,1.0624395389757888
2019,1,1,14,1.0624394050535613
2019,1,1,15,1.062446502931625
2019,1,1,16,1.06246083260998
2019,1,1,17,1.0624813227108054
2019,1,1,18,1.062505875119202
2019,1,1,19,1.0625318560313595
2019,1,1,20,1.0625543996063416
2019,1,1,21,1.0624131116562063
2019,1,1,22,1.062097546247199
2019,1,1,23,1.0617860877865057
2019,1,1,24,1.0616438177400347
2019,1,2,1,1.0616334610877654
2019,1,2,2,1.0616386840546426
2019,1,2,3,1.0616267649763844
2019,1,2,4,1.0622053536404303
2019,1,2,5,1.0627355070988216
2019,1,2,6,1.0632144129847783
2019,1,2,7,1.063639392853748
2019,1,2,8,1.0640079468241486
2019,1,2,9,1.064317753577368
2019,1,2,10,1.0645668042799923
2019,1,2,11,1.0647532240208348
2019,1,2,12,1.064875986062817
2019,1,2,13,1.0649347779207408
2019,1,2,14,1.0649293317501507
2019,1,2,15,1.0648592457843644
2019,1,2,16,1.0647239843344716
2019,1,2,17,1.0645228331485916
2019,1,2,18,1.0642551672563287
2019,1,2,19,1.0639202277650601
2019,1,2,20,1.0635193538970613
2019,1,2,21,1.063200127947166
2019,1,2,22,1.062976120701106
2019,1,2,23,1.0626801525780734
2019,1,2,24,1.06215049016785
2019,1,3,1,1.061423917442288
2019,1,3,2,1.0606181073987193
2019,1,3,3,1.0597714957164701
2019,1,3,4,1.0588536820498717
2019,1,3,5,1.05788622787757
2019,1,3,6,1.0568722580515428
2019,1,3,7,1.0558150759867382
2019,1,3,8,1.0547182083018165
2019,1,3,9,1.0535853601784084
2019,1,3,10,1.0524202814388872
2019,1,3,11,1.051226945109339
2019,1,3,12,1.050011779456689
2019,1,3,13,1.0487832662220198
2019,1,3,14,1.047548949690821
2019,1,3,15,1.0463149010040775
2019,1,3,16,1.0450854503138154
2019,1,3,17,1.0438630528608746
2019,1,3,18,1.0426486461008477
2019,1,3,19,1.041442140752251
2019,1,3,20,1.040243268970628
2019,1,3,21,1.0390705120233898
2019,1,3,22,1.0379277090143957
2019,1,3,23,1.036795753705838
2019,1,3,24,1.035655048811743
2019,1,4,1,1.034514968888044
2019,1,4,2,1.0333980575097224
2019,1,4,3,1.0323170372884019
2019,1,4,4,1.031264899627504
2019,1,4,5,1.0302551260312753
2019,1,4,6,1.0292903949442687
2019,1,4,7,1.0269783169659545
2019,1,4,8,1.0247589578098937
2019,1,4,9,1.0226267373832685
2019,1,4,10,1.0205280867950326
2019,1,4,11,1.0183637250337794
2019,1,4,12,1.016011023979755
2019,1,4,13,1.01335271240231
2019,1,4,14,1.010305044268441
2019,1,4,15,1.0068448510327705
2019,1,4,16,1.0030244962862966
2019,1,4,17,0.9989697330007513
2019,1,4,18,0.9948598830389132
2019,1,4,19,0.9908956065384942
2019,1,4,20,0.9872584573993999
2019,1,4,21,0.9838716089037208
2019,1,4,22,0.9807801482014208
2019,1,4,23,0.9782110734683109
2019,1,4,24,0.9763069225953167
2019,1,5,1,0.9748961412088617
2019,1,5,2,0.9736922250233315
2019,1,5,3,0.9725443776104303
2019,1,5,4,0.9714028245422273
2019,1,5,5,0.9702557806626918
2019,1,5,6,0.9691225307726008
2019,1,5,7,0.9694334089036413
2019,1,5,8,0.9697749998655484
2019,1,5,9,0.9701443127285723
2019,1,5,10,0.9705382226407349
2019,1,5,11,0.9709536940315437
2019,1,5,12,0.9713870663601109
2019,1,5,13,0.9718344112410926
2019,1,5,14,0.9722918449298885
2019,1,5,15,0.9727560193708072
2019,1,5,16,0.9732239436340994
